userProfilePK,calendarDate,uuid,durationInMilliseconds,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,totalSteps,dailyStepGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessStartTimeGmt,wellnessEndTimeGmt,wellnessStartTimeLocal,wellnessEndTimeLocal,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,userIntensityMinutesGoal,userFloorsAscendedGoal,minHeartRate,maxHeartRate,restingHeartRate,currentDayRestingHeartRate,restingHeartRateTimestamp,includesWellnessData,includesActivityData,includesCalorieConsumedData,includesSingleMeasurement,includesContinuousMeasurement,includesAllDayPulseOx,includesSleepPulseOx,source,allDayStress/userProfilePK,allDayStress/calendarDate,allDayStress/aggregatorList/0/type,allDayStress/aggregatorList/0/averageStressLevel,allDayStress/aggregatorList/0/averageStressLevelIntensity,allDayStress/aggregatorList/0/maxStressLevel,allDayStress/aggregatorList/0/stressIntensityCount,allDayStress/aggregatorList/0/stressOffWristCount,allDayStress/aggregatorList/0/stressTooActiveCount,allDayStress/aggregatorList/0/totalStressCount,allDayStress/aggregatorList/0/totalStressIntensity,allDayStress/aggregatorList/0/stressDuration,allDayStress/aggregatorList/0/restDuration,allDayStress/aggregatorList/0/activityDuration,allDayStress/aggregatorList/0/uncategorizedDuration,allDayStress/aggregatorList/0/totalDuration,allDayStress/aggregatorList/0/lowDuration,allDayStress/aggregatorList/0/mediumDuration,allDayStress/aggregatorList/0/highDuration,allDayStress/aggregatorList/1/type,allDayStress/aggregatorList/1/averageStressLevel,allDayStress/aggregatorList/1/averageStressLevelIntensity,allDayStress/aggregatorList/1/maxStressLevel,allDayStress/aggregatorList/1/stressIntensityCount,allDayStress/aggregatorList/1/stressOffWristCount,allDayStress/aggregatorList/1/stressTooActiveCount,allDayStress/aggregatorList/1/totalStressCount,allDayStress/aggregatorList/1/totalStressIntensity,allDayStress/aggregatorList/1/stressDuration,allDayStress/aggregatorList/1/restDuration,allDayStress/aggregatorList/1/activityDuration,allDayStress/aggregatorList/1/uncategorizedDuration,allDayStress/aggregatorList/1/totalDuration,allDayStress/aggregatorList/1/lowDuration,allDayStress/aggregatorList/1/mediumDuration,allDayStress/aggregatorList/1/highDuration,allDayStress/aggregatorList/2/type,allDayStress/aggregatorList/2/averageStressLevel,allDayStress/aggregatorList/2/averageStressLevelIntensity,allDayStress/aggregatorList/2/maxStressLevel,allDayStress/aggregatorList/2/stressIntensityCount,allDayStress/aggregatorList/2/stressOffWristCount,allDayStress/aggregatorList/2/stressTooActiveCount,allDayStress/aggregatorList/2/totalStressCount,allDayStress/aggregatorList/2/totalStressIntensity,allDayStress/aggregatorList/2/stressDuration,allDayStress/aggregatorList/2/restDuration,allDayStress/aggregatorList/2/activityDuration,allDayStress/aggregatorList/2/uncategorizedDuration,allDayStress/aggregatorList/2/totalDuration,allDayStress/aggregatorList/2/lowDuration,allDayStress/aggregatorList/2/mediumDuration,allDayStress/aggregatorList/2/highDuration,bodyBattery/userProfilePK,bodyBattery/calendarDate,bodyBattery/chargedValue,bodyBattery/drainedValue,bodyBattery/bodyBatteryVersion,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/0/statsValue,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/0/statTimestamp,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/1/statsValue,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/1/statTimestamp,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/2/statsValue,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/2/statTimestamp,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/3/statsValue,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/3/statTimestamp,minAvgHeartRate,maxAvgHeartRate,version,restingCaloriesFromActivity,bodyBattery/bodyBatteryStatList/4/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/4/statsValue,bodyBattery/bodyBatteryStatList/4/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/4/statTimestamp
96200873,2022-12-24,dfb7ed96b4984395938afe5a778d443c,86400000,2653,533,2120,2653,2653,2653,533,11489,9650,10554,10554,2022-12-24T08:00:00.0,2022-12-25T08:00:00.0,2022-12-24T00:00:00.0,2022-12-25T00:00:00.0,7015,4725,1,17,150,10,38,155,43,46,1671955200000,true,true,false,false,false,false,false,0,96200873,2022-12-24,TOTAL,30,20,96,1082,192,163,1437,22120,23880,41040,9780,11520,86220,6600,7800,9480,AWAKE,49,40,96,554,169,159,882,-10986,21720,11520,9540,10140,52920,4860,7380,9480,ASLEEP,10,10,72,528,23,4,555,33106,2160,29520,240,1380,33300,1740,420,,96200873,2022-12-24,96,81,1,HIGHEST,99,MEASURED,2022-12-24T14:58:00.0,LOWEST,31,MEASURED,2022-12-24T22:07:00.0,MOSTRECENT,63,MEASURED,2022-12-25T08:00:00.0,ENDOFDAY,46,MEASURED,2022-12-25T05:56:00.0,41,153,70380002,23,,,,
96200873,2022-12-25,0a8b231982954659b16901bc8e2ef5b9,86400000,2305,185,2120,2305,2305,2305,185,7186,10020,5928,5928,2022-12-25T08:00:00.0,2022-12-26T08:00:00.0,2022-12-25T00:00:00.0,2022-12-26T00:00:00.0,1455,7975,0,0,150,10,39,102,43,43,1672041600000,true,false,false,false,false,false,false,0,96200873,2022-12-25,TOTAL,20,15,91,1126,159,155,1440,44584,18420,49140,9300,9540,86400,8160,8040,2220,AWAKE,35,25,91,579,141,154,874,1973,18240,16500,9240,8460,52440,7980,8040,2220,ASLEEP,5,6,48,547,18,1,566,42611,180,32640,60,1080,33960,180,,,96200873,2022-12-25,95,63,1,HIGHEST,100,MEASURED,2022-12-25T12:25:00.0,LOWEST,53,MEASURED,2022-12-26T01:00:00.0,MOSTRECENT,95,MEASURED,2022-12-26T08:00:00.0,ENDOFDAY,69,MEASURED,2022-12-26T05:41:00.0,40,102,54420002,,,,,
96200873,2022-12-26,ac76eb75fb99451c9eeefd1740da7950,86400000,2721,601,2120,2721,2721,2721,601,13783,9740,13342,13342,2022-12-26T08:00:00.0,2022-12-27T08:00:00.0,2022-12-26T00:00:00.0,2022-12-27T00:00:00.0,6196,5107,4,30,150,10,35,146,43,42,1672128000000,true,true,false,false,false,false,false,0,96200873,2022-12-26,TOTAL,29,20,95,1049,190,153,1392,21068,25320,37620,9180,11400,83520,11100,6780,7440,AWAKE,48,43,95,550,180,146,876,-13670,25080,7920,8760,10800,52560,10920,6720,7440,ASLEEP,8,8,52,499,10,7,516,34738,240,29700,420,600,30960,180,60,,96200873,2022-12-26,46,74,1,HIGHEST,100,MEASURED,2022-12-26T08:42:00.0,LOWEST,32,MEASURED,2022-12-27T03:54:00.0,MOSTRECENT,67,MEASURED,2022-12-27T08:00:00.0,ENDOFDAY,41,MEASURED,2022-12-27T05:31:00.0,36,146,59280002,46,,,,
96200873,2022-12-27,e547f4c319704acab14e3bc1a553ee92,86400000,2616,496,2120,2616,2616,2616,496,10442,10150,9635,9635,2022-12-27T08:00:00.0,2022-12-28T08:00:00.0,2022-12-27T00:00:00.0,2022-12-28T00:00:00.0,4540,4751,4,15,150,10,39,144,43,44,1672214400000,true,true,false,false,false,false,false,0,96200873,2022-12-27,TOTAL,28,19,96,1146,188,105,1439,28410,29340,39420,6300,11280,86340,13620,7380,8340,AWAKE,45,39,96,671,182,105,958,-12467,29340,10920,6300,10920,57480,13620,7380,8340,ASLEEP,3,4,24,475,6,,481,40877,,28500,,360,28860,,,,96200873,2022-12-27,87,75,1,HIGHEST,100,MEASURED,2022-12-27T10:52:00.0,LOWEST,40,MEASURED,2022-12-28T03:12:00.0,MOSTRECENT,79,MEASURED,2022-12-28T08:00:00.0,ENDOFDAY,53,MEASURED,2022-12-28T06:01:00.0,40,143,66660002,24,,,,
96200873,2022-12-28,45d1ca17443a4d4da630c65e9a8f9d9c,86400000,2761,641,2120,2761,2761,2761,641,13086,10210,12527,12527,2022-12-28T08:00:00.0,2022-12-29T08:00:00.0,2022-12-28T00:00:00.0,2022-12-29T00:00:00.0,5825,3421,1,25,150,10,40,156,44,44,1672300800000,true,true,false,false,false,false,false,0,96200873,2022-12-28,TOTAL,33,22,93,930,248,97,1275,12268,27480,28320,5820,14880,76500,8580,13800,5100,AWAKE,58,57,93,478,232,95,805,-20488,27180,1500,5700,13920,48300,8340,13740,5100,ASLEEP,7,8,54,452,16,2,470,32756,300,26820,120,960,28200,240,60,,96200873,2022-12-28,37,81,1,HIGHEST,100,MEASURED,2022-12-28T10:32:00.0,LOWEST,22,MEASURED,2022-12-29T06:13:00.0,MOSTRECENT,35,MEASURED,2022-12-29T08:00:00.0,ENDOFDAY,22,MEASURED,2022-12-29T06:15:00.0,40,156,67980002,33,,,,
96200873,2022-12-29,63c1dafdfe1e49f79ca6bf72f839ab84,86400000,2684,564,2120,2684,2684,2684,564,11140,10790,10257,10257,2022-12-29T08:00:00.0,2022-12-30T08:00:00.0,2022-12-29T00:00:00.0,2022-12-30T00:00:00.0,4934,4508,1,20,150,10,44,163,45,50,1672387200000,true,true,false,false,false,false,false,0,96200873,2022-12-29,TOTAL,25,20,93,1086,211,140,1437,23535,19320,45840,8400,12660,86220,8940,6780,3600,AWAKE,37,27,93,570,151,140,861,-1480,18060,16140,8400,9060,51660,7740,6720,3600,ASLEEP,13,13,53,516,60,,576,25015,1260,29700,,3600,34560,1200,60,,96200873,2022-12-29,88,51,1,HIGHEST,75,MEASURED,2022-12-29T15:14:00.0,LOWEST,35,MEASURED,2022-12-29T08:01:00.0,MOSTRECENT,72,MEASURED,2022-12-30T08:00:00.0,ENDOFDAY,52,MEASURED,2022-12-30T05:41:00.0,45,162,56880002,25,,,,
96200873,2022-12-30,fe2d935d50a340acad732330129ba047,86400000,2850,730,2120,2850,2850,2850,730,11087,10860,9080,9080,2022-12-30T08:00:00.0,2022-12-31T08:00:00.0,2022-12-30T00:00:00.0,2022-12-31T00:00:00.0,3495,16386,0,0,150,10,42,121,46,50,1672473600000,true,false,false,false,false,false,false,0,96200873,2022-12-30,TOTAL,35,23,97,789,142,508,1439,6768,24720,22620,30480,8520,86340,7680,10680,6360,AWAKE,63,61,97,385,46,507,938,-18891,22500,600,30420,2760,56280,5580,10560,6360,ASLEEP,10,9,72,404,96,1,501,25659,2220,22020,60,5760,30060,2100,120,,96200873,2022-12-30,28,95,1,HIGHEST,100,MEASURED,2022-12-30T11:57:00.0,LOWEST,5,MEASURED,2022-12-31T03:12:00.0,MOSTRECENT,5,MEASURED,2022-12-31T08:00:00.0,ENDOFDAY,5,MEASURED,2022-12-31T05:42:00.0,45,121,66660002,,,,,
96200873,2022-12-31,62f2ecaac6694e52b442e91aa2b8b09e,86400000,2658,538,2120,2658,2658,2658,538,8737,10910,9063,9063,2022-12-31T08:00:00.0,2023-01-01T08:00:00.0,2022-12-31T00:00:00.0,2023-01-01T00:00:00.0,4992,1668,2,36,150,10,46,154,46,52,1672560000000,true,true,false,false,false,false,false,0,96200873,2022-12-31,TOTAL,32,24,93,1093,257,89,1439,7374,33900,31680,5340,15420,86340,18960,10020,4920,AWAKE,45,40,93,671,209,86,966,-13782,31680,8580,5160,12540,57960,16860,9900,4920,ASLEEP,13,13,73,422,48,3,473,21156,2220,23100,180,2880,28380,2100,120,,96200873,2022-12-31,69,41,1,HIGHEST,62,MEASURED,2022-12-31T15:01:00.0,LOWEST,5,MEASURED,2022-12-31T08:01:00.0,MOSTRECENT,33,MEASURED,2023-01-01T08:00:00.0,ENDOFDAY,33,MEASURED,2023-01-01T08:00:00.0,47,150,46920002,49,,,,
96200873,2023-01-01,1f810ba1c1aa46c9a814043c444edcb8,86400000,2318,198,2120,2318,2318,2318,198,7408,10700,6067,6067,2023-01-01T08:00:00.0,2023-01-02T08:00:00.0,2023-01-01T00:00:00.0,2023-01-02T00:00:00.0,2735,6155,0,0,150,10,44,106,47,50,1672646400000,true,false,false,false,false,false,false,0,96200873,2023-01-01,TOTAL,24,19,93,1045,265,130,1440,26233,20820,41880,7800,15900,86400,11340,6960,2520,AWAKE,37,28,93,529,202,130,861,-2790,19680,12060,7800,12120,51660,10440,6720,2520,ASLEEP,11,11,68,516,63,,579,29023,1140,29820,,3780,34740,900,240,,96200873,2023-01-01,82,53,1,HIGHEST,88,MEASURED,2023-01-01T15:39:00.0,LOWEST,33,MEASURED,2023-01-01T08:01:00.0,MOSTRECENT,62,MEASURED,2023-01-02T08:00:00.0,ENDOFDAY,50,MEASURED,2023-01-02T06:00:00.0,45,104,41940002,,,,,
96200873,2023-01-02,72d2114548564a32b742f2d95f279268,86400000,2820,700,2120,2820,2820,2820,700,13496,10050,12797,12797,2023-01-02T08:00:00.0,2023-01-03T08:00:00.0,2023-01-02T00:00:00.0,2023-01-03T00:00:00.0,5130,8565,1,36,150,10,40,144,48,47,1672732800000,true,true,false,false,false,false,false,0,96200873,2023-01-02,TOTAL,21,15,91,987,110,227,1324,41679,17340,41880,13620,6600,79440,5340,8340,3660,AWAKE,46,37,91,404,106,224,734,-6391,17040,7200,13440,6360,44040,5160,8220,3660,ASLEEP,4,5,60,583,4,3,590,48070,300,34680,180,240,35400,180,120,,96200873,2023-01-02,97,76,1,HIGHEST,100,MEASURED,2023-01-02T11:10:00.0,LOWEST,25,MEASURED,2023-01-03T01:37:00.0,MOSTRECENT,83,MEASURED,2023-01-03T08:00:00.0,ENDOFDAY,44,MEASURED,2023-01-03T04:17:00.0,41,141,56460002,51,,,,
