userProfilePK,calendarDate,uuid,durationInMilliseconds,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,totalSteps,dailyStepGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessStartTimeGmt,wellnessEndTimeGmt,wellnessStartTimeLocal,wellnessEndTimeLocal,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,userIntensityMinutesGoal,userFloorsAscendedGoal,includesWellnessData,includesActivityData,includesCalorieConsumedData,includesSingleMeasurement,includesContinuousMeasurement,includesAllDayPulseOx,includesSleepPulseOx,source,version,minHeartRate,maxHeartRate,allDayStress/userProfilePK,allDayStress/calendarDate,allDayStress/aggregatorList/0/type,allDayStress/aggregatorList/0/averageStressLevel,allDayStress/aggregatorList/0/averageStressLevelIntensity,allDayStress/aggregatorList/0/stressOffWristCount,allDayStress/aggregatorList/0/totalStressCount,allDayStress/aggregatorList/0/uncategorizedDuration,allDayStress/aggregatorList/0/totalDuration,allDayStress/aggregatorList/1/type,allDayStress/aggregatorList/1/averageStressLevel,allDayStress/aggregatorList/1/averageStressLevelIntensity,allDayStress/aggregatorList/1/stressOffWristCount,allDayStress/aggregatorList/1/totalStressCount,allDayStress/aggregatorList/1/uncategorizedDuration,allDayStress/aggregatorList/1/totalDuration,allDayStress/aggregatorList/2/type,allDayStress/aggregatorList/2/averageStressLevel,allDayStress/aggregatorList/2/averageStressLevelIntensity,minAvgHeartRate,maxAvgHeartRate,allDayStress/aggregatorList/0/maxStressLevel,allDayStress/aggregatorList/0/stressIntensityCount,allDayStress/aggregatorList/0/stressTooActiveCount,allDayStress/aggregatorList/0/totalStressIntensity,allDayStress/aggregatorList/0/stressDuration,allDayStress/aggregatorList/0/activityDuration,allDayStress/aggregatorList/0/lowDuration,allDayStress/aggregatorList/0/mediumDuration,allDayStress/aggregatorList/0/highDuration,allDayStress/aggregatorList/1/maxStressLevel,allDayStress/aggregatorList/1/stressIntensityCount,allDayStress/aggregatorList/1/stressTooActiveCount,allDayStress/aggregatorList/1/totalStressIntensity,allDayStress/aggregatorList/1/stressDuration,allDayStress/aggregatorList/1/activityDuration,allDayStress/aggregatorList/1/lowDuration,allDayStress/aggregatorList/1/mediumDuration,allDayStress/aggregatorList/1/highDuration,bodyBattery/userProfilePK,bodyBattery/calendarDate,bodyBattery/chargedValue,bodyBattery/drainedValue,bodyBattery/bodyBatteryVersion,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/0/statsValue,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/0/statTimestamp,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/1/statsValue,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/1/statTimestamp,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/2/statsValue,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/2/statTimestamp,restingHeartRate,currentDayRestingHeartRate,restingHeartRateTimestamp,allDayStress/aggregatorList/0/restDuration,allDayStress/aggregatorList/1/restDuration
96200873,2021-08-11,03683e729ca049e0a075d8ea0a0477be,86400000,2609,511,2098,2609,2609,2609,511,6645,9710,8471,8471,2021-08-11T10:00:00.0,2021-08-12T10:00:00.0,2021-08-11T00:00:00.0,2021-08-12T00:00:00.0,2580,360,48,0,150,10,true,true,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-12,c2c340b12aa9497c8518ccbdfa9f9986,86400000,2783,685,2098,2783,2783,2783,685,9171,9100,11578,11578,2021-08-12T10:00:00.0,2021-08-13T10:00:00.0,2021-08-12T00:00:00.0,2021-08-13T00:00:00.0,3420,480,60,0,150,10,true,true,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-13,d0902ba4fe564465b40b612caf715e6f,86400000,2551,453,2098,2551,2551,2551,453,6449,9110,7659,7659,2021-08-13T10:00:00.0,2021-08-14T10:00:00.0,2021-08-13T00:00:00.0,2021-08-14T00:00:00.0,2365,960,46,0,150,10,true,true,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-14,bd69d16769724e5099eff5487d78040b,86400000,2584,486,2098,2584,2584,2584,486,7879,8850,9994,9994,2021-08-14T10:00:00.0,2021-08-15T10:00:00.0,2021-08-14T00:00:00.0,2021-08-15T00:00:00.0,3060,420,54,0,150,10,true,true,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-15,4b0c838338d5410a9474cb9f419037c5,86400000,2145,47,2098,2145,2145,2145,47,2107,8660,1726,1726,2021-08-15T10:00:00.0,2021-08-16T10:00:00.0,2021-08-15T00:00:00.0,2021-08-16T00:00:00.0,120,1945,0,0,150,10,true,false,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-16,53d02125e0d14478ba5c39d3f9f83b11,86400000,2944,846,2098,2944,2944,2944,846,11014,7350,12814,12814,2021-08-16T07:00:00.0,2021-08-17T07:00:00.0,2021-08-16T00:00:00.0,2021-08-17T00:00:00.0,4800,1260,79,0,150,10,true,true,false,false,false,false,false,0,59100002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-17,a7a0f2375ada4f4e896f7695a5eaddb2,75000000,2591,770,1821,2591,2591,2591,770,10009,7720,12836,12836,2021-08-17T07:00:00.0,2021-08-18T03:50:00.0,2021-08-17T00:00:00.0,2021-08-17T20:50:00.0,3960,120,63,0,150,10,true,true,false,false,false,false,false,0,75000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-18,4aaa7725ce3544d5a6541e95cd578d82,75180000,2478,653,1825,2478,2478,2478,653,10238,8180,11851,11851,2021-08-18T07:00:00.0,2021-08-19T03:53:00.0,2021-08-18T00:00:00.0,2021-08-18T20:53:00.0,4380,1920,69,0,150,10,true,true,false,false,false,false,false,0,75180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-19,c8d5f5fbaf124346bad7991da288ec89,86400000,3041,943,2098,3041,3041,3041,943,11493,8600,14941,14941,2021-08-19T07:00:00.0,2021-08-20T07:00:00.0,2021-08-19T00:00:00.0,2021-08-20T00:00:00.0,4380,1080,78,0,150,10,true,true,false,false,false,false,false,0,62760002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-20,82048969f94b482c9d1986267ca50541,86400000,3013,915,2098,3013,3013,3013,915,12485,9180,14605,14605,2021-08-20T07:00:00.0,2021-08-21T07:00:00.0,2021-08-20T00:00:00.0,2021-08-21T00:00:00.0,5034,1035,95,0,150,10,true,true,false,false,false,false,false,0,26580002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-21,aab3b373b1c94c0a96cbd5b5315a1fba,86400000,2885,787,2098,2885,2885,2885,787,10008,9850,12778,12778,2021-08-21T07:00:00.0,2021-08-22T07:00:00.0,2021-08-21T00:00:00.0,2021-08-22T00:00:00.0,3720,15,62,0,150,10,true,true,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-22,0e3c311def8b4c799bf2be02a5c9ed56,86400000,2247,149,2098,2247,2247,2247,149,5334,9890,4612,4612,2021-08-22T07:00:00.0,2021-08-23T07:00:00.0,2021-08-22T00:00:00.0,2021-08-23T00:00:00.0,2505,4997,45,0,150,10,true,false,false,false,false,false,false,0,53820002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-23,b92ca9d6fbb2493eae61596fc1117732,86400000,3136,1038,2098,3136,3136,3136,1038,16220,9440,18435,18435,2021-08-23T07:00:00.0,2021-08-24T07:00:00.0,2021-08-23T00:00:00.0,2021-08-24T00:00:00.0,7162,5640,108,0,150,10,true,true,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-24,d5aa20e9ceb040109e08cd72276125a3,86400000,3039,941,2098,3039,3039,3039,941,12807,10120,15390,15390,2021-08-24T07:00:00.0,2021-08-25T07:00:00.0,2021-08-24T00:00:00.0,2021-08-25T00:00:00.0,5460,1530,100,0,150,10,true,true,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-25,078d08b1ae2143a686da70ef57d684c7,86400000,2927,829,2098,2927,2927,2927,829,10925,10660,12108,12108,2021-08-25T07:00:00.0,2021-08-26T07:00:00.0,2021-08-25T00:00:00.0,2021-08-26T00:00:00.0,4705,1548,82,0,150,10,true,true,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-26,0a409a89a7304823a0606e4dc57884ff,86400000,2779,681,2098,2779,2779,2779,681,9345,10720,11303,11303,2021-08-26T07:00:00.0,2021-08-27T07:00:00.0,2021-08-26T00:00:00.0,2021-08-27T00:00:00.0,3720,1370,62,0,150,10,true,true,false,false,false,false,false,0,67800002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-27,4422e7a7b69a40e68f4cbb7a4c4c44c4,86400000,2098,0,2098,2098,2098,2098,0,0,10590,0,0,2021-08-27T07:00:00.0,2021-08-28T07:00:00.0,2021-08-27T00:00:00.0,2021-08-28T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-28,13e0c7521fcc4d049b5630a6beccfa47,86400000,2747,649,2098,2747,2747,2747,649,10394,10590,11868,11868,2021-08-28T07:00:00.0,2021-08-29T07:00:00.0,2021-08-28T00:00:00.0,2021-08-29T00:00:00.0,3960,2355,76,0,150,10,true,true,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-29,33170cbd96b54209a0f390ba62b07043,86400000,2098,0,2098,2098,2098,2098,0,0,10550,0,0,2021-08-29T07:00:00.0,2021-08-30T07:00:00.0,2021-08-29T00:00:00.0,2021-08-30T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-30,2518222cfad249ae8caebcb1194d85a0,86400000,2098,0,2098,2098,2098,2098,0,0,10550,0,0,2021-08-30T07:00:00.0,2021-08-31T07:00:00.0,2021-08-30T00:00:00.0,2021-08-31T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-08-31,b5450829a13f4c3199cf3c61eb437101,86400000,2972,874,2098,2972,2972,2972,874,11216,10550,14437,14437,2021-08-31T07:00:00.0,2021-09-01T07:00:00.0,2021-08-31T00:00:00.0,2021-09-01T00:00:00.0,4545,1095,82,0,150,10,true,true,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-09-01,2b8a853f669c425fb45b21d958825389,86400000,2098,0,2098,2098,2098,2098,0,0,10620,0,0,2021-09-01T07:00:00.0,2021-09-02T07:00:00.0,2021-09-01T00:00:00.0,2021-09-02T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-09-02,79bba949793d4698a46fe0a15e365804,86400000,2896,798,2098,2896,2896,2896,798,9924,10620,11884,11884,2021-09-02T07:00:00.0,2021-09-03T07:00:00.0,2021-09-02T00:00:00.0,2021-09-03T00:00:00.0,4410,960,73,0,150,10,true,true,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-09-03,2ec777d956cf40c79a495338f536af60,86400000,2098,0,2098,2098,2098,2098,0,0,10550,0,0,2021-09-03T07:00:00.0,2021-09-04T07:00:00.0,2021-09-03T00:00:00.0,2021-09-04T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-09-04,bb72cd270ce54a12a579071cbacf9101,86400000,2923,825,2098,2923,2923,2923,825,10414,10550,12807,12807,2021-09-04T07:00:00.0,2021-09-05T07:00:00.0,2021-09-04T00:00:00.0,2021-09-05T00:00:00.0,3930,30,69,0,150,10,true,true,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-09-05,35a4b569a4b6431d959537df4721e710,86400000,2098,0,2098,2098,2098,2098,0,0,10530,0,0,2021-09-05T07:00:00.0,2021-09-06T07:00:00.0,2021-09-05T00:00:00.0,2021-09-06T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-09-06,d96c693b9bfb4f6d9bee8861d935a444,86400000,2098,0,2098,2098,2098,2098,0,0,10530,0,0,2021-09-06T07:00:00.0,2021-09-07T07:00:00.0,2021-09-06T00:00:00.0,2021-09-07T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,33960002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
