userProfilePK,calendarDate,uuid,durationInMilliseconds,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,totalSteps,dailyStepGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessStartTimeGmt,wellnessEndTimeGmt,wellnessStartTimeLocal,wellnessEndTimeLocal,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,userIntensityMinutesGoal,userFloorsAscendedGoal,includesWellnessData,includesActivityData,includesCalorieConsumedData,includesSingleMeasurement,includesContinuousMeasurement,includesAllDayPulseOx,includesSleepPulseOx,source,allDayStress/userProfilePK,allDayStress/calendarDate,allDayStress/aggregatorList/0/type,allDayStress/aggregatorList/0/averageStressLevel,allDayStress/aggregatorList/0/averageStressLevelIntensity,allDayStress/aggregatorList/0/maxStressLevel,allDayStress/aggregatorList/0/stressIntensityCount,allDayStress/aggregatorList/0/stressOffWristCount,allDayStress/aggregatorList/0/stressTooActiveCount,allDayStress/aggregatorList/0/totalStressCount,allDayStress/aggregatorList/0/totalStressIntensity,allDayStress/aggregatorList/0/stressDuration,allDayStress/aggregatorList/0/restDuration,allDayStress/aggregatorList/0/activityDuration,allDayStress/aggregatorList/0/uncategorizedDuration,allDayStress/aggregatorList/0/totalDuration,allDayStress/aggregatorList/0/lowDuration,allDayStress/aggregatorList/0/mediumDuration,allDayStress/aggregatorList/0/highDuration,allDayStress/aggregatorList/1/type,allDayStress/aggregatorList/1/averageStressLevel,allDayStress/aggregatorList/1/averageStressLevelIntensity,allDayStress/aggregatorList/1/maxStressLevel,allDayStress/aggregatorList/1/stressIntensityCount,allDayStress/aggregatorList/1/stressOffWristCount,allDayStress/aggregatorList/1/stressTooActiveCount,allDayStress/aggregatorList/1/totalStressCount,allDayStress/aggregatorList/1/totalStressIntensity,allDayStress/aggregatorList/1/stressDuration,allDayStress/aggregatorList/1/restDuration,allDayStress/aggregatorList/1/activityDuration,allDayStress/aggregatorList/1/uncategorizedDuration,allDayStress/aggregatorList/1/totalDuration,allDayStress/aggregatorList/1/lowDuration,allDayStress/aggregatorList/1/mediumDuration,allDayStress/aggregatorList/1/highDuration,allDayStress/aggregatorList/2/type,allDayStress/aggregatorList/2/averageStressLevel,allDayStress/aggregatorList/2/averageStressLevelIntensity,allDayStress/aggregatorList/2/maxStressLevel,allDayStress/aggregatorList/2/stressIntensityCount,allDayStress/aggregatorList/2/stressOffWristCount,allDayStress/aggregatorList/2/stressTooActiveCount,allDayStress/aggregatorList/2/totalStressCount,allDayStress/aggregatorList/2/totalStressIntensity,allDayStress/aggregatorList/2/stressDuration,allDayStress/aggregatorList/2/restDuration,allDayStress/aggregatorList/2/activityDuration,allDayStress/aggregatorList/2/uncategorizedDuration,allDayStress/aggregatorList/2/totalDuration,allDayStress/aggregatorList/2/lowDuration,allDayStress/aggregatorList/2/mediumDuration,allDayStress/aggregatorList/2/highDuration,version,minHeartRate,maxHeartRate,bodyBattery/userProfilePK,bodyBattery/calendarDate,bodyBattery/chargedValue,bodyBattery/drainedValue,bodyBattery/bodyBatteryVersion,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/0/statsValue,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/0/statTimestamp,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/1/statsValue,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/1/statTimestamp,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/2/statsValue,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/2/statTimestamp,minAvgHeartRate,maxAvgHeartRate,restingHeartRate,currentDayRestingHeartRate,restingHeartRateTimestamp,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/3/statsValue,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/3/statTimestamp
96200873,2021-06-09,126fb3df89d74de9a4b80cb8d5bdb11a,86400000,2098,0,2098,2098,2098,2098,0,9,7400,7,7,2021-06-09T07:00:00.0,2021-06-10T07:00:00.0,2021-06-09T00:00:00.0,2021-06-10T00:00:00.0,0,60,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-06-09,TOTAL,-1,-1,0,0,1440,0,1440,0,0,0,0,86400,86400,0,0,0,AWAKE,-1,-1,0,0,1440,0,1440,0,0,0,0,86400,86400,0,0,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-06-10,75353afb3a514fd589638ccfff4404a6,86400000,2098,0,2098,2098,2098,2098,0,0,7400,0,0,2021-06-10T07:00:00.0,2021-06-11T07:00:00.0,2021-06-10T00:00:00.0,2021-06-11T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-06-10,TOTAL,-1,-1,0,0,1440,0,1440,0,0,0,0,86400,86400,0,0,0,AWAKE,-1,-1,0,0,1440,0,1440,0,0,0,0,86400,86400,0,0,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-06-11,06aa011ad8a2457ebe370bdda428b3bd,86400000,2483,385,2098,2483,2483,2483,385,5544,7400,6731,6731,2021-06-11T07:00:00.0,2021-06-12T07:00:00.0,2021-06-11T00:00:00.0,2021-06-12T00:00:00.0,1740,1095,1,28,150,10,true,true,false,false,false,false,false,0,96200873,2021-06-11,TOTAL,27,20,81,18,1377,45,1440,413,420,660,2700,82620,86400,180,180,60,AWAKE,27,20,81,18,1377,45,1440,413,420,660,2700,82620,86400,180,180,60,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,187,96200873,2021-06-11,2,30,1,HIGHEST,73,RESET,2021-06-11T15:59:00.0,LOWEST,36,MODELED,2021-06-11T22:35:00.0,MOSTRECENT,36,MEASURED,2021-06-11T22:46:00.0,56,186,,,,,,,
96200873,2021-06-12,b0ee3afe2022467a844aad9393797bb7,86400000,2137,39,2098,2137,2137,2137,39,724,7030,821,821,2021-06-12T07:00:00.0,2021-06-13T07:00:00.0,2021-06-12T00:00:00.0,2021-06-13T00:00:00.0,279,120,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-06-12,TOTAL,70,70,79,3,1427,10,1440,-180,180,0,600,85620,86400,0,120,60,AWAKE,70,70,79,3,1427,10,1440,-180,180,0,600,85620,86400,0,120,60,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,143,96200873,2021-06-12,0,3,1,HIGHEST,76,RESET,2021-06-12T15:27:00.0,LOWEST,73,MEASURED,2021-06-12T15:37:00.0,MOSTRECENT,73,MEASURED,2021-06-12T15:41:00.0,91,132,,,,,,,
96200873,2021-06-13,7b46e35f874d48b88d5ac6800645f243,86400000,2098,0,2098,2098,2098,2098,0,0,5770,0,0,2021-06-13T07:00:00.0,2021-06-14T07:00:00.0,2021-06-13T00:00:00.0,2021-06-14T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-06-13,TOTAL,-1,-1,0,0,1440,0,1440,0,0,0,0,86400,86400,0,0,0,AWAKE,-1,-1,0,0,1440,0,1440,0,0,0,0,86400,86400,0,0,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-06-14,f0def6719bb74e4bb5a91bd76e8d13e6,86400000,2491,393,2098,2491,2491,2491,393,4732,5770,6297,6297,2021-06-14T07:00:00.0,2021-06-15T07:00:00.0,2021-06-14T00:00:00.0,2021-06-15T00:00:00.0,1860,45,2,29,150,10,true,true,false,false,false,false,false,0,96200873,2021-06-14,TOTAL,19,19,27,6,1403,30,1439,150,120,240,1800,84180,86340,120,0,0,AWAKE,19,19,27,6,1403,30,1439,150,120,240,1800,84180,86340,120,0,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,181,96200873,2021-06-14,1,8,1,HIGHEST,44,MEASURED,2021-06-14T22:06:00.0,LOWEST,36,MEASURED,2021-06-14T22:35:00.0,MOSTRECENT,36,MEASURED,2021-06-14T22:41:00.0,68,181,,,,,,,
96200873,2021-06-15,e0baace416bd49aeb3273770c62c5742,86400000,2510,412,2098,2510,2510,2510,412,4737,5570,6166,6166,2021-06-15T07:00:00.0,2021-06-16T07:00:00.0,2021-06-15T00:00:00.0,2021-06-16T00:00:00.0,1800,150,2,30,150,10,true,true,false,false,false,false,false,0,96200873,2021-06-15,TOTAL,66,65,66,1,1404,31,1436,-54,60,0,1860,84240,86160,0,60,0,AWAKE,66,65,66,1,1404,31,1436,-54,60,0,1860,84240,86160,0,60,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47100002,80,182,96200873,2021-06-15,0,7,1,HIGHEST,43,RESET,2021-06-15T21:47:00.0,LOWEST,36,MEASURED,2021-06-15T22:21:00.0,MOSTRECENT,36,MEASURED,2021-06-15T22:24:00.0,88,182,,,,,,,
96200873,2021-06-16,8916b17f2542476a8c48972caa31fec1,86400000,2482,384,2098,2482,2482,2482,384,4704,5410,6318,6318,2021-06-16T07:00:00.0,2021-06-17T07:00:00.0,2021-06-16T00:00:00.0,2021-06-17T00:00:00.0,1800,120,4,30,150,10,true,true,false,false,false,false,false,0,96200873,2021-06-16,TOTAL,-1,-1,0,0,1406,32,1438,0,0,0,1920,84360,86280,0,0,0,AWAKE,-1,-1,0,0,1406,32,1438,0,0,0,1920,84360,86280,0,0,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101,178,96200873,2021-06-16,0,11,1,HIGHEST,82,RESET,2021-06-16T14:27:00.0,LOWEST,71,MEASURED,2021-06-16T14:59:00.0,MOSTRECENT,71,MEASURED,2021-06-16T15:03:00.0,105,175,,,,,,,
96200873,2021-06-17,00d7146af0294e9eaf94b93dd8caf937,60900000,1885,407,1478,1885,1885,1885,407,4606,5270,6353,6353,2021-06-17T07:00:00.0,2021-06-17T23:55:00.0,2021-06-17T00:00:00.0,2021-06-17T16:55:00.0,1755,90,2,28,150,10,true,true,false,false,false,false,false,0,96200873,2021-06-17,TOTAL,26,18,61,3,931,31,965,85,60,120,1860,55860,57900,0,60,0,AWAKE,26,18,61,3,931,31,965,85,60,120,1860,55860,57900,0,60,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60900000,58,189,96200873,2021-06-17,0,8,1,HIGHEST,43,RESET,2021-06-17T21:44:00.0,LOWEST,35,MEASURED,2021-06-17T22:18:00.0,MOSTRECENT,35,MEASURED,2021-06-17T22:21:00.0,66,187,,,,,,,
96200873,2021-06-18,1bbc9cb529a54dd5b8cae2b8dea803ca,86400000,2098,0,2098,2098,2098,2098,0,0,5270,0,0,2021-06-18T07:00:00.0,2021-06-19T07:00:00.0,2021-06-18T00:00:00.0,2021-06-19T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-06-18,TOTAL,-1,-1,0,0,637,0,637,0,0,0,0,38220,38220,0,0,0,AWAKE,-1,-1,0,0,637,0,637,0,0,0,0,38220,38220,0,0,0,ASLEEP,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
