userProfilePK,calendarDate,uuid,durationInMilliseconds,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,totalSteps,dailyStepGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessStartTimeGmt,wellnessEndTimeGmt,wellnessStartTimeLocal,wellnessEndTimeLocal,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,userIntensityMinutesGoal,userFloorsAscendedGoal,includesWellnessData,includesActivityData,includesCalorieConsumedData,includesSingleMeasurement,includesContinuousMeasurement,includesAllDayPulseOx,includesSleepPulseOx,source,allDayStress/userProfilePK,allDayStress/calendarDate,allDayStress/aggregatorList/0/type,allDayStress/aggregatorList/0/averageStressLevel,allDayStress/aggregatorList/0/averageStressLevelIntensity,allDayStress/aggregatorList/0/stressOffWristCount,allDayStress/aggregatorList/0/totalStressCount,allDayStress/aggregatorList/0/uncategorizedDuration,allDayStress/aggregatorList/0/totalDuration,allDayStress/aggregatorList/1/type,allDayStress/aggregatorList/1/averageStressLevel,allDayStress/aggregatorList/1/averageStressLevelIntensity,allDayStress/aggregatorList/1/stressOffWristCount,allDayStress/aggregatorList/1/totalStressCount,allDayStress/aggregatorList/1/uncategorizedDuration,allDayStress/aggregatorList/1/totalDuration,allDayStress/aggregatorList/2/type,allDayStress/aggregatorList/2/averageStressLevel,allDayStress/aggregatorList/2/averageStressLevelIntensity,version,minHeartRate,maxHeartRate,restingHeartRate,currentDayRestingHeartRate,restingHeartRateTimestamp,allDayStress/aggregatorList/0/maxStressLevel,allDayStress/aggregatorList/0/stressIntensityCount,allDayStress/aggregatorList/0/stressTooActiveCount,allDayStress/aggregatorList/0/totalStressIntensity,allDayStress/aggregatorList/0/stressDuration,allDayStress/aggregatorList/0/restDuration,allDayStress/aggregatorList/0/activityDuration,allDayStress/aggregatorList/0/lowDuration,allDayStress/aggregatorList/0/mediumDuration,allDayStress/aggregatorList/0/highDuration,allDayStress/aggregatorList/1/maxStressLevel,allDayStress/aggregatorList/1/stressIntensityCount,allDayStress/aggregatorList/1/stressTooActiveCount,allDayStress/aggregatorList/1/totalStressIntensity,allDayStress/aggregatorList/1/stressDuration,allDayStress/aggregatorList/1/restDuration,allDayStress/aggregatorList/1/activityDuration,allDayStress/aggregatorList/1/lowDuration,allDayStress/aggregatorList/1/mediumDuration,allDayStress/aggregatorList/1/highDuration,bodyBattery/userProfilePK,bodyBattery/calendarDate,bodyBattery/chargedValue,bodyBattery/drainedValue,bodyBattery/bodyBatteryVersion,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/0/statsValue,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/0/statTimestamp,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/1/statsValue,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/1/statTimestamp,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/2/statsValue,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/2/statTimestamp,minAvgHeartRate,maxAvgHeartRate,allDayStress/aggregatorList/2/maxStressLevel,allDayStress/aggregatorList/2/stressIntensityCount,allDayStress/aggregatorList/2/totalStressCount,allDayStress/aggregatorList/2/totalStressIntensity,allDayStress/aggregatorList/2/restDuration,allDayStress/aggregatorList/2/totalDuration,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/3/statsValue,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/3/statTimestamp,allDayStress/aggregatorList/2/stressOffWristCount,allDayStress/aggregatorList/2/stressTooActiveCount,allDayStress/aggregatorList/2/stressDuration,allDayStress/aggregatorList/2/activityDuration,allDayStress/aggregatorList/2/uncategorizedDuration,allDayStress/aggregatorList/2/lowDuration,allDayStress/aggregatorList/2/mediumDuration,allDayStress/aggregatorList/2/highDuration,restingCaloriesFromActivity
96200873,2021-11-19,2965cede239c425c9d3a3d6c27ad467d,86400000,2740,586,2154,2740,2740,2740,586,8684,10080,9556,9556,2021-11-19T08:00:00.0,2021-11-20T08:00:00.0,2021-11-19T00:00:00.0,2021-11-20T00:00:00.0,2100,3555,5,33,150,10,true,true,false,false,false,false,false,0,96200873,2021-11-19,TOTAL,20,18,953,1435,57180,86100,AWAKE,20,18,953,1435,57180,86100,ASLEEP,-2,-2,2,51,176,63,63,1637395200000,87,382,100,11811,3600,19320,6000,1860,1500,240,87,382,100,11811,3600,19320,6000,1860,1500,240,96200873,2021-11-19,19,30,1,HIGHEST,90,MEASURED,2021-11-19T21:30:00.0,LOWEST,74,MEASURED,2021-11-19T23:37:00.0,MOSTRECENT,74,MEASURED,2021-11-19T23:42:00.0,55,170,,,,,,,,,,,,,,,,,,,
96200873,2021-11-20,ea07af7628554a0992215daf618e0762,86400000,2592,438,2154,2592,2592,2592,438,5053,9800,6537,6537,2021-11-20T08:00:00.0,2021-11-21T08:00:00.0,2021-11-20T00:00:00.0,2021-11-21T00:00:00.0,1860,150,2,31,150,10,true,true,false,false,false,false,false,0,96200873,2021-11-20,TOTAL,59,59,509,1439,30540,86340,AWAKE,59,59,509,1439,30540,86340,ASLEEP,-2,-2,2,79,179,,,,85,3,927,-137,180,,55620,60,60,60,85,3,927,-137,180,,55620,60,60,60,96200873,2021-11-20,0,12,1,HIGHEST,76,RESET,2021-11-20T16:29:00.0,LOWEST,64,MEASURED,2021-11-20T17:07:00.0,MOSTRECENT,64,MEASURED,2021-11-20T17:10:00.0,83,178,,,,,,,,,,,,,,,,,,,
96200873,2021-11-21,5216334f5b8849899d823e5aaabd7f51,86400000,2154,0,2154,2154,2154,2154,0,0,8850,0,0,2021-11-21T08:00:00.0,2021-11-22T08:00:00.0,2021-11-21T00:00:00.0,2021-11-22T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-11-21,TOTAL,-2,-2,,1440,,86400,AWAKE,-2,-2,,1440,,86400,ASLEEP,-2,-2,1,,,,,,,,1440,,,,86400,,,,,,1440,,,,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2021-11-22,6d6d9b4b062d437595b808781cc7d9a1,86400000,2722,568,2154,2722,2722,2722,568,6925,8850,8148,8148,2021-11-22T08:00:00.0,2021-11-23T08:00:00.0,2021-11-22T00:00:00.0,2021-11-23T00:00:00.0,2340,1415,6,34,150,10,true,true,false,false,false,false,false,0,96200873,2021-11-22,TOTAL,19,16,18,1440,1080,86400,AWAKE,19,16,18,1440,1080,86400,ASLEEP,-2,-2,2,51,187,62,63,1637654400000,92,205,1217,7478,1680,10620,73020,780,420,480,92,205,1217,7478,1680,10620,73020,780,420,480,96200873,2021-11-22,17,18,1,HIGHEST,76,MEASURED,2021-11-22T22:29:00.0,LOWEST,61,MEASURED,2021-11-22T19:01:00.0,MOSTRECENT,61,MEASURED,2021-11-22T23:49:00.0,55,184,,,,,,,,,,,,,,,,,,,
96200873,2021-11-23,5fb36d4a96324403b6c7cab94e2fd3c0,86400000,2545,391,2154,2545,2545,2545,391,6167,8470,6954,6954,2021-11-23T08:00:00.0,2021-11-24T08:00:00.0,2021-11-23T00:00:00.0,2021-11-24T00:00:00.0,1800,1710,1,24,150,10,true,true,false,false,false,false,false,0,96200873,2021-11-23,TOTAL,25,20,546,1438,32760,86280,AWAKE,25,20,546,1438,32760,86280,ASLEEP,-2,-2,2,52,173,62,63,1637740800000,83,220,672,4618,3960,9240,40320,2040,1620,300,83,220,672,4618,3960,9240,40320,2040,1620,300,96200873,2021-11-23,11,17,1,HIGHEST,74,MEASURED,2021-11-23T19:45:00.0,LOWEST,60,MEASURED,2021-11-23T23:20:00.0,MOSTRECENT,60,MEASURED,2021-11-23T23:40:00.0,52,168,,,,,,,,,,,,,,,,,,,
96200873,2021-11-24,4539ad0e96d14ad58256d9db5f9efb8d,86400000,2791,665,2126,2791,2791,2791,665,10162,10530,10844,10844,2021-11-24T08:00:00.0,2021-11-25T08:00:00.0,2021-11-24T00:00:00.0,2021-11-25T00:00:00.0,2550,5239,6,33,150,10,true,true,false,false,false,false,false,0,96200873,2021-11-24,TOTAL,22,18,546,1438,32760,86280,AWAKE,26,20,546,1331,32760,79860,ASLEEP,4,5,73800002,40,184,59,46,1637827200000,96,758,134,23719,14160,31320,8040,8220,4020,1920,96,651,134,14804,14160,24900,8040,8220,4020,1920,96200873,2021-11-24,67,58,1,HIGHEST,90,MEASURED,2021-11-24T18:30:00.0,LOWEST,54,MEASURED,2021-11-25T01:30:00.0,MOSTRECENT,89,MEASURED,2021-11-25T08:00:00.0,42,180,19,107,107,8915,6420,6420,ENDOFDAY,69,MEASURED,2021-11-25T06:14:00.0,,,,,,,,,
96200873,2021-11-25,64f4e6a429d646ed83cb8aa4b94c7e2f,86400000,2584,458,2126,2584,2584,2584,458,5757,10460,6670,6670,2021-11-25T08:00:00.0,2021-11-26T08:00:00.0,2021-11-25T00:00:00.0,2021-11-26T00:00:00.0,2100,2244,1,26,150,10,true,true,false,false,false,false,false,0,96200873,2021-11-25,TOTAL,19,15,65,1434,3900,86040,AWAKE,29,22,57,805,3420,48300,ASLEEP,9,9,36360002,39,191,56,45,1637913600000,92,1221,148,48918,16860,56400,8880,8280,7500,1080,92,601,147,8845,16080,19980,8820,7740,7260,1080,96200873,2021-11-25,62,67,1,HIGHEST,100,MEASURED,2021-11-25T09:17:00.0,LOWEST,64,MEASURED,2021-11-25T20:26:00.0,MOSTRECENT,84,MEASURED,2021-11-26T08:00:00.0,40,191,72,620,629,40073,36420,37740,ENDOFDAY,78,MEASURED,2021-11-26T06:07:00.0,8,1,780,60,480,540,240,,
96200873,2021-11-26,00aee41e34784cfc9f743c281918261c,86400000,2596,470,2126,2596,2596,2596,470,5837,9520,7255,7255,2021-11-26T08:00:00.0,2021-11-27T08:00:00.0,2021-11-26T00:00:00.0,2021-11-27T00:00:00.0,1980,1665,3,34,150,10,true,true,false,false,false,false,false,0,96200873,2021-11-26,TOTAL,18,15,663,1439,39780,86340,AWAKE,27,20,658,1005,39480,60300,ASLEEP,11,11,33420002,45,183,54,52,1638000000000,92,728,48,30852,5820,37860,2880,1200,3360,1260,92,301,46,6445,5160,12900,2760,780,3120,1260,96200873,2021-11-26,48,35,1,HIGHEST,100,MEASURED,2021-11-26T11:41:00.0,LOWEST,30,RESET,2021-11-27T04:10:00.0,MOSTRECENT,61,MEASURED,2021-11-27T08:00:00.0,45,183,65,427,434,24407,24960,26040,ENDOFDAY,61,MEASURED,2021-11-27T08:00:00.0,5,2,660,120,300,420,240,,
96200873,2021-11-27,bdb3fa0831ef41708da38126ad3e6cd0,86400000,2605,479,2126,2605,2605,2605,479,5946,8790,7202,7202,2021-11-27T08:00:00.0,2021-11-28T08:00:00.0,2021-11-27T00:00:00.0,2021-11-28T00:00:00.0,2280,1800,1,32,150,10,true,true,false,false,false,false,false,0,96200873,2021-11-27,TOTAL,18,15,135,1439,8100,86340,AWAKE,24,19,131,1046,7860,62760,ASLEEP,7,8,63120002,40,186,53,48,1638086400000,90,1232,72,49101,15780,58140,4320,8700,6300,780,90,844,71,21127,15420,35220,4260,8520,6120,780,96200873,2021-11-27,82,53,1,HIGHEST,100,MEASURED,2021-11-27T12:51:00.0,LOWEST,61,MEASURED,2021-11-27T08:01:00.0,MOSTRECENT,90,MEASURED,2021-11-28T08:00:00.0,40,185,68,388,393,27974,22920,23580,ENDOFDAY,90,MEASURED,2021-11-28T08:00:00.0,4,1,360,60,240,180,180,,
96200873,2021-11-28,97c14c43d0e24925a93925c99f7e1768,86400000,2177,51,2126,2177,2177,2177,51,1278,8230,1060,1060,2021-11-28T08:00:00.0,2021-11-29T08:00:00.0,2021-11-28T00:00:00.0,2021-11-29T00:00:00.0,510,1440,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2021-11-28,TOTAL,33,23,73,1440,4380,86400,AWAKE,52,51,58,810,3480,48600,ASLEEP,11,11,30720003,41,121,52,47,1638172800000,90,1313,54,10710,40320,38460,3240,18120,18840,3360,90,699,53,-24189,39540,2400,3180,17400,18780,3360,96200873,2021-11-28,24,71,1,HIGHEST,100,MEASURED,2021-11-28T09:16:00.0,LOWEST,29,MEASURED,2021-11-29T05:43:00.0,MOSTRECENT,43,MEASURED,2021-11-29T08:00:00.0,41,106,54,614,630,34899,36060,37800,ENDOFDAY,31,MEASURED,2021-11-29T06:02:00.0,15,1,780,60,900,720,60,,
