userProfilePK,calendarDate,uuid,durationInMilliseconds,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,restingCaloriesFromActivity,totalSteps,dailyStepGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessStartTimeGmt,wellnessEndTimeGmt,wellnessStartTimeLocal,wellnessEndTimeLocal,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,userIntensityMinutesGoal,userFloorsAscendedGoal,minHeartRate,maxHeartRate,restingHeartRate,currentDayRestingHeartRate,restingHeartRateTimestamp,includesWellnessData,includesActivityData,includesCalorieConsumedData,includesSingleMeasurement,includesContinuousMeasurement,includesAllDayPulseOx,includesSleepPulseOx,source,allDayStress/userProfilePK,allDayStress/calendarDate,allDayStress/aggregatorList/0/type,allDayStress/aggregatorList/0/averageStressLevel,allDayStress/aggregatorList/0/averageStressLevelIntensity,allDayStress/aggregatorList/0/maxStressLevel,allDayStress/aggregatorList/0/stressIntensityCount,allDayStress/aggregatorList/0/stressOffWristCount,allDayStress/aggregatorList/0/stressTooActiveCount,allDayStress/aggregatorList/0/totalStressCount,allDayStress/aggregatorList/0/totalStressIntensity,allDayStress/aggregatorList/0/stressDuration,allDayStress/aggregatorList/0/restDuration,allDayStress/aggregatorList/0/activityDuration,allDayStress/aggregatorList/0/uncategorizedDuration,allDayStress/aggregatorList/0/totalDuration,allDayStress/aggregatorList/0/lowDuration,allDayStress/aggregatorList/0/mediumDuration,allDayStress/aggregatorList/0/highDuration,allDayStress/aggregatorList/1/type,allDayStress/aggregatorList/1/averageStressLevel,allDayStress/aggregatorList/1/averageStressLevelIntensity,allDayStress/aggregatorList/1/maxStressLevel,allDayStress/aggregatorList/1/stressIntensityCount,allDayStress/aggregatorList/1/stressOffWristCount,allDayStress/aggregatorList/1/stressTooActiveCount,allDayStress/aggregatorList/1/totalStressCount,allDayStress/aggregatorList/1/totalStressIntensity,allDayStress/aggregatorList/1/stressDuration,allDayStress/aggregatorList/1/restDuration,allDayStress/aggregatorList/1/activityDuration,allDayStress/aggregatorList/1/uncategorizedDuration,allDayStress/aggregatorList/1/totalDuration,allDayStress/aggregatorList/1/lowDuration,allDayStress/aggregatorList/1/mediumDuration,allDayStress/aggregatorList/1/highDuration,allDayStress/aggregatorList/2/type,allDayStress/aggregatorList/2/averageStressLevel,allDayStress/aggregatorList/2/averageStressLevelIntensity,allDayStress/aggregatorList/2/maxStressLevel,allDayStress/aggregatorList/2/stressIntensityCount,allDayStress/aggregatorList/2/stressOffWristCount,allDayStress/aggregatorList/2/stressTooActiveCount,allDayStress/aggregatorList/2/totalStressCount,allDayStress/aggregatorList/2/totalStressIntensity,allDayStress/aggregatorList/2/stressDuration,allDayStress/aggregatorList/2/restDuration,allDayStress/aggregatorList/2/activityDuration,allDayStress/aggregatorList/2/uncategorizedDuration,allDayStress/aggregatorList/2/totalDuration,allDayStress/aggregatorList/2/lowDuration,allDayStress/aggregatorList/2/mediumDuration,bodyBattery/userProfilePK,bodyBattery/calendarDate,bodyBattery/chargedValue,bodyBattery/drainedValue,bodyBattery/bodyBatteryVersion,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/0/statsValue,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/0/statTimestamp,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/1/statsValue,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/1/statTimestamp,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/2/statsValue,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/2/statTimestamp,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/3/statsValue,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/3/statTimestamp,minAvgHeartRate,maxAvgHeartRate,version,allDayStress/aggregatorList/2/highDuration
96200873,2022-06-07,f40d385186554fd1b9ab5c3bd079d6a4,86400000,3120,1000,2120,3120,3120,3120,1000,27,12206,8160,11493,11493,2022-06-07T07:00:00.0,2022-06-08T07:00:00.0,2022-06-07T00:00:00.0,2022-06-08T00:00:00.0,3853,9137,15,26,150,10,50,184,55,60,1654671600000,true,true,false,false,false,false,false,0,96200873,2022-06-07,TOTAL,42,31,96,761,111,568,1440,-7157,26880,18780,34080,6660,86400,8460,10020,8400,AWAKE,42,31,96,761,111,568,1440,-7157,26880,18780,34080,6660,86400,8460,10020,8400,ASLEEP,-2,-2,,,,,,,,,,,,,,96200873,2022-06-07,40,73,1,HIGHEST,81,RESET,2022-06-07T13:23:00.0,LOWEST,20,MEASURED,2022-06-08T03:16:00.0,MOSTRECENT,48,MEASURED,2022-06-08T07:00:00.0,ENDOFDAY,48,MEASURED,2022-06-08T07:00:00.0,50,184,75660002,
96200873,2022-06-08,d4fc31c958de457ebc7879610b9eb267,86400000,3046,926,2120,3046,3046,3046,926,26,14769,8570,13767,13767,2022-06-08T07:00:00.0,2022-06-09T07:00:00.0,2022-06-08T00:00:00.0,2022-06-09T00:00:00.0,3600,10710,10,22,150,10,47,181,54,54,1654758000000,true,true,false,false,false,false,false,0,96200873,2022-06-08,TOTAL,44,31,96,1126,91,222,1439,-9679,41820,25740,13320,5460,86340,9120,21840,10860,AWAKE,58,55,96,805,81,220,1106,-32104,41820,6480,13200,4860,66360,9120,21840,10860,ASLEEP,7,8,25,321,10,2,333,22425,,19260,120,600,19980,,,96200873,2022-06-08,60,88,1,HIGHEST,95,MEASURED,2022-06-08T12:25:00.0,LOWEST,7,MEASURED,2022-06-09T04:10:00.0,MOSTRECENT,20,MEASURED,2022-06-09T07:00:00.0,ENDOFDAY,20,MEASURED,2022-06-09T07:00:00.0,48,179,63120002,
96200873,2022-06-09,6b0ee125abd44f8c902ba2243920db2f,86400000,2532,412,2120,2532,2532,2532,412,23,7178,9810,7106,7106,2022-06-09T07:00:00.0,2022-06-10T07:00:00.0,2022-06-09T00:00:00.0,2022-06-10T00:00:00.0,1440,5365,1,16,150,10,43,152,54,53,1654844400000,true,true,false,false,false,false,false,0,96200873,2022-06-09,TOTAL,33,23,95,690,134,614,1438,6856,20700,20700,36840,8040,86280,9120,7740,3840,AWAKE,50,45,95,396,74,614,1084,-10871,19800,3960,36840,4440,65040,8400,7560,3840,ASLEEP,10,10,62,294,60,,354,17727,900,16740,,3600,21240,720,180,96200873,2022-06-09,56,45,1,HIGHEST,67,MEASURED,2022-06-09T12:48:00.0,LOWEST,20,MEASURED,2022-06-09T07:01:00.0,MOSTRECENT,31,MEASURED,2022-06-09T22:41:00.0,,,,,44,151,56160002,
96200873,2022-06-10,9bb62ae50ab34c0fb5721648e1b03a97,86400000,2861,741,2120,2861,2861,2861,741,32,16287,9550,15230,15230,2022-06-10T07:00:00.0,2022-06-11T07:00:00.0,2022-06-10T00:00:00.0,2022-06-11T00:00:00.0,2311,10229,2,23,150,10,55,163,55,60,1654930800000,true,true,false,false,false,false,false,0,96200873,2022-06-10,TOTAL,41,35,85,325,73,1039,1437,-4518,13500,6000,62340,4380,86220,7020,5520,960,AWAKE,41,35,85,325,73,1039,1437,-4518,13500,6000,62340,4380,86220,7020,5520,960,ASLEEP,-2,-2,,,,,,,,,,,,,,96200873,2022-06-10,9,51,1,HIGHEST,82,RESET,2022-06-10T13:35:00.0,LOWEST,40,MEASURED,2022-06-10T23:35:00.0,MOSTRECENT,40,MEASURED,2022-06-10T23:40:00.0,,,,,56,161,59700002,
96200873,2022-06-11,b543a436429849a9ab13dc457d114cc8,86400000,3157,1037,2120,3157,3157,3157,1037,39,11994,10230,12307,12307,2022-06-11T07:00:00.0,2022-06-12T07:00:00.0,2022-06-11T00:00:00.0,2022-06-12T00:00:00.0,3600,8640,17,42,150,10,47,186,57,55,1655017200000,true,true,false,false,false,false,false,0,96200873,2022-06-11,TOTAL,51,42,95,419,63,958,1440,-9740,18060,7080,57480,3780,86400,4020,7200,6840,AWAKE,51,42,95,419,63,958,1440,-9740,18060,7080,57480,3780,86400,4020,7200,6840,ASLEEP,-2,-2,,,,,,,,,,,,,,96200873,2022-06-11,19,50,1,HIGHEST,66,RESET,2022-06-11T17:04:00.0,LOWEST,17,MEASURED,2022-06-11T23:44:00.0,MOSTRECENT,35,MEASURED,2022-06-12T04:27:00.0,,,,,48,185,66960002,
96200873,2022-06-12,2317264893834408b8c9b6a27c7f400f,86400000,2120,0,2120,2120,2120,2120,0,,0,10590,0,0,2022-06-12T07:00:00.0,2022-06-13T07:00:00.0,2022-06-12T00:00:00.0,2022-06-13T00:00:00.0,0,0,0,0,150,10,,,,,,true,false,false,false,false,false,false,0,96200873,2022-06-12,TOTAL,-2,-2,,,,1440,1440,,,,86400,,86400,,,,AWAKE,-2,-2,,,,1440,1440,,,,86400,,86400,,,,ASLEEP,-2,-2,,,,,,,,,,,,,,96200873,2022-06-12,,,1,,,,,,,,,,,,,,,,,,,46440002,
96200873,2022-06-13,8c222cab937848be9d6b46f3893c6551,86400000,2770,650,2120,2770,2770,2770,650,31,12015,10590,11869,11869,2022-06-13T07:00:00.0,2022-06-14T07:00:00.0,2022-06-13T00:00:00.0,2022-06-14T00:00:00.0,3208,8717,0,23,150,10,49,161,56,55,1655190000000,true,true,false,false,false,false,false,0,96200873,2022-06-13,TOTAL,29,22,95,745,143,550,1438,10578,18000,26700,33000,8580,86280,8580,7020,2400,AWAKE,29,22,95,745,143,550,1438,10578,18000,26700,33000,8580,86280,8580,7020,2400,ASLEEP,-2,-2,,,,,,,,,,,,,,96200873,2022-06-13,49,61,1,HIGHEST,81,RESET,2022-06-13T13:25:00.0,LOWEST,45,MEASURED,2022-06-14T01:26:00.0,MOSTRECENT,69,MEASURED,2022-06-14T07:00:00.0,ENDOFDAY,69,MEASURED,2022-06-14T07:00:00.0,50,159,58860002,
96200873,2022-06-14,46b8c5349f034e1787b4cbe57ae8f5ae,86400000,2976,856,2120,2976,2976,2976,856,42,14398,10880,14339,14339,2022-06-14T07:00:00.0,2022-06-15T07:00:00.0,2022-06-14T00:00:00.0,2022-06-15T00:00:00.0,4605,9120,37,40,150,10,43,179,54,48,1655276400000,true,true,false,false,false,false,false,0,96200873,2022-06-14,TOTAL,24,19,90,776,231,427,1434,20574,15660,30900,25620,13860,86040,8280,5760,1620,AWAKE,35,27,90,490,182,426,1098,-1422,15480,13920,25560,10920,65880,8160,5700,1620,ASLEEP,6,6,64,286,49,1,336,21996,180,16980,60,2940,20160,120,60,96200873,2022-06-14,45,67,1,HIGHEST,100,MEASURED,2022-06-14T11:03:00.0,LOWEST,44,MEASURED,2022-06-15T01:59:00.0,MOSTRECENT,47,MEASURED,2022-06-15T03:34:00.0,,,,,43,179,75180002,
96200873,2022-06-15,b53840ca8a924ff89bf22a66067e2735,86400000,2689,569,2120,2689,2689,2689,569,33,10809,11590,10737,10737,2022-06-15T07:00:00.0,2022-06-16T07:00:00.0,2022-06-15T00:00:00.0,2022-06-16T00:00:00.0,1980,6995,1,24,150,10,53,173,55,60,1655362800000,true,true,false,false,false,false,false,0,96200873,2022-06-15,TOTAL,36,29,87,336,99,1003,1438,-2007,13080,7080,60180,5940,86280,7920,4860,300,AWAKE,36,29,87,336,99,1003,1438,-2007,13080,7080,60180,5940,86280,7920,4860,300,ASLEEP,-2,-2,,,,,,,,,,,,,,96200873,2022-06-15,10,46,1,HIGHEST,84,RESET,2022-06-15T14:06:00.0,LOWEST,48,MEASURED,2022-06-15T23:42:00.0,MOSTRECENT,48,MEASURED,2022-06-15T23:47:00.0,,,,,54,173,76320002,
96200873,2022-06-16,bdff7c11c8dd4db1ade873b8b4eae234,86400000,2654,534,2120,2654,2654,2654,534,32,10941,11520,10912,10912,2022-06-16T07:00:00.0,2022-06-17T07:00:00.0,2022-06-16T00:00:00.0,2022-06-17T00:00:00.0,2235,7625,2,22,150,10,50,174,56,56,1655449200000,true,true,false,false,false,false,false,0,96200873,2022-06-16,TOTAL,28,22,88,415,63,960,1438,5971,10560,14340,57600,3780,86280,6600,3420,540,AWAKE,28,22,88,415,63,960,1438,5971,10560,14340,57600,3780,86280,6600,3420,540,ASLEEP,-2,-2,,,,,,,,,,,,,,96200873,2022-06-16,22,49,1,HIGHEST,82,RESET,2022-06-16T13:36:00.0,LOWEST,55,MEASURED,2022-06-17T00:17:00.0,MOSTRECENT,55,MEASURED,2022-06-17T00:23:00.0,,,,,52,172,76800002,
