userProfilePK,calendarDate,uuid,durationInMilliseconds,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,restingCaloriesFromActivity,totalSteps,dailyStepGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessStartTimeGmt,wellnessEndTimeGmt,wellnessStartTimeLocal,wellnessEndTimeLocal,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,userIntensityMinutesGoal,userFloorsAscendedGoal,minHeartRate,maxHeartRate,restingHeartRate,currentDayRestingHeartRate,restingHeartRateTimestamp,includesWellnessData,includesActivityData,includesCalorieConsumedData,includesSingleMeasurement,includesContinuousMeasurement,includesAllDayPulseOx,includesSleepPulseOx,source,allDayStress/userProfilePK,allDayStress/calendarDate,allDayStress/aggregatorList/0/type,allDayStress/aggregatorList/0/averageStressLevel,allDayStress/aggregatorList/0/averageStressLevelIntensity,allDayStress/aggregatorList/0/maxStressLevel,allDayStress/aggregatorList/0/stressIntensityCount,allDayStress/aggregatorList/0/stressOffWristCount,allDayStress/aggregatorList/0/stressTooActiveCount,allDayStress/aggregatorList/0/totalStressCount,allDayStress/aggregatorList/0/totalStressIntensity,allDayStress/aggregatorList/0/stressDuration,allDayStress/aggregatorList/0/restDuration,allDayStress/aggregatorList/0/activityDuration,allDayStress/aggregatorList/0/uncategorizedDuration,allDayStress/aggregatorList/0/totalDuration,allDayStress/aggregatorList/0/lowDuration,allDayStress/aggregatorList/0/mediumDuration,allDayStress/aggregatorList/0/highDuration,allDayStress/aggregatorList/1/type,allDayStress/aggregatorList/1/averageStressLevel,allDayStress/aggregatorList/1/averageStressLevelIntensity,allDayStress/aggregatorList/1/maxStressLevel,allDayStress/aggregatorList/1/stressIntensityCount,allDayStress/aggregatorList/1/stressOffWristCount,allDayStress/aggregatorList/1/stressTooActiveCount,allDayStress/aggregatorList/1/totalStressCount,allDayStress/aggregatorList/1/totalStressIntensity,allDayStress/aggregatorList/1/stressDuration,allDayStress/aggregatorList/1/restDuration,allDayStress/aggregatorList/1/activityDuration,allDayStress/aggregatorList/1/uncategorizedDuration,allDayStress/aggregatorList/1/totalDuration,allDayStress/aggregatorList/1/lowDuration,allDayStress/aggregatorList/1/mediumDuration,allDayStress/aggregatorList/1/highDuration,allDayStress/aggregatorList/2/type,allDayStress/aggregatorList/2/averageStressLevel,allDayStress/aggregatorList/2/averageStressLevelIntensity,allDayStress/aggregatorList/2/maxStressLevel,allDayStress/aggregatorList/2/stressIntensityCount,allDayStress/aggregatorList/2/stressOffWristCount,allDayStress/aggregatorList/2/totalStressCount,allDayStress/aggregatorList/2/totalStressIntensity,allDayStress/aggregatorList/2/stressDuration,allDayStress/aggregatorList/2/restDuration,allDayStress/aggregatorList/2/uncategorizedDuration,allDayStress/aggregatorList/2/totalDuration,allDayStress/aggregatorList/2/lowDuration,allDayStress/aggregatorList/2/mediumDuration,allDayStress/aggregatorList/2/highDuration,bodyBattery/userProfilePK,bodyBattery/calendarDate,bodyBattery/chargedValue,bodyBattery/drainedValue,bodyBattery/bodyBatteryVersion,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/0/statsValue,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/0/statTimestamp,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/1/statsValue,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/1/statTimestamp,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/2/statsValue,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/2/statTimestamp,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/3/statsValue,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/3/statTimestamp,minAvgHeartRate,maxAvgHeartRate,version,allDayStress/aggregatorList/2/stressTooActiveCount,allDayStress/aggregatorList/2/activityDuration
96200873,2022-09-15,56954348d1914a86beda1fd6bad024f2,86400000,3057,937,2120,3057,3057,3057,937,86,18615,13880,19835,19835,2022-09-15T07:00:00.0,2022-09-16T07:00:00.0,2022-09-15T00:00:00.0,2022-09-16T00:00:00.0,5240,6750,6,62,150,10,38,165,44,44,1663311600000,true,true,false,false,false,false,false,0,96200873,2022-09-15,TOTAL,27,19,89,918,293,227,1438,22759,22200,32880,13620,17580,86280,10020,9300,2880,AWAKE,47,43,89,460,285,218,963,-11201,22020,5580,13080,17100,57780,9840,9300,2880,ASLEEP,6,7,36,458,8,475,33960,180,27300,480,28500,180,,,96200873,2022-09-15,77,72,1,HIGHEST,100,MEASURED,2022-09-15T12:00:00.0,LOWEST,36,MEASURED,2022-09-16T04:46:00.0,MOSTRECENT,50,MEASURED,2022-09-16T07:00:00.0,ENDOFDAY,36,MEASURED,2022-09-16T05:16:00.0,39,164,85080002,9,540
96200873,2022-09-16,9b99359e5fe847978b07d1f54f9eddea,86400000,2798,678,2120,2798,2798,2798,678,26,15851,14830,13786,13786,2022-09-16T07:00:00.0,2022-09-17T07:00:00.0,2022-09-16T00:00:00.0,2022-09-17T00:00:00.0,6420,8610,4,22,150,10,40,158,44,43,1663398000000,true,true,false,false,false,false,false,0,96200873,2022-09-16,TOTAL,27,20,94,994,260,184,1438,22022,21360,38280,11040,15600,86280,9180,7740,4440,AWAKE,40,32,94,570,182,184,936,-5425,20340,13860,11040,10920,56160,8760,7440,4140,ASLEEP,10,9,87,424,78,502,27447,1020,24420,4680,30120,420,300,300,96200873,2022-09-16,79,71,1,HIGHEST,100,MEASURED,2022-09-16T13:07:00.0,LOWEST,45,MEASURED,2022-09-17T03:52:00.0,MOSTRECENT,58,MEASURED,2022-09-17T07:00:00.0,ENDOFDAY,51,MEASURED,2022-09-17T05:24:00.0,40,154,27960002,,
96200873,2022-09-17,bf48cf5ec7094194a681f40fa2c9ad8c,86400000,2890,770,2120,2890,2890,2890,770,40,13424,15040,13531,13531,2022-09-17T07:00:00.0,2022-09-18T07:00:00.0,2022-09-17T00:00:00.0,2022-09-18T00:00:00.0,4455,7360,2,30,150,10,36,166,44,41,1663484400000,true,true,false,false,false,false,false,0,96200873,2022-09-17,TOTAL,29,20,98,1086,172,179,1437,22303,28560,36600,10740,10320,86220,12300,10200,6060,AWAKE,44,36,98,645,145,179,969,-9364,27900,10800,10740,8700,58140,11700,10140,6060,ASLEEP,7,8,57,441,27,468,31667,660,25800,1620,28080,600,60,,96200873,2022-09-17,73,74,1,HIGHEST,100,MEASURED,2022-09-17T12:05:00.0,LOWEST,31,MEASURED,2022-09-18T01:32:00.0,MOSTRECENT,57,MEASURED,2022-09-18T07:00:00.0,ENDOFDAY,57,MEASURED,2022-09-18T07:00:00.0,37,166,30660002,,
96200873,2022-09-18,ef874e9311fc47e68e5d9d0a8c80475d,86400000,2415,295,2120,2415,2415,2415,295,,8739,14880,7157,7157,2022-09-18T07:00:00.0,2022-09-19T07:00:00.0,2022-09-18T00:00:00.0,2022-09-19T00:00:00.0,2595,5925,0,0,150,10,39,120,44,44,1663570800000,true,false,false,false,false,false,false,0,96200873,2022-09-18,TOTAL,30,21,97,1078,205,157,1440,20842,29340,35340,9420,12300,86400,13380,9240,6720,AWAKE,54,52,97,506,163,152,821,-18943,28200,2160,9120,9780,49260,12300,9180,6720,ASLEEP,8,8,62,572,42,619,39785,1140,33180,2520,37140,1080,60,,96200873,2022-09-18,62,69,1,HIGHEST,100,MEASURED,2022-09-18T11:24:00.0,LOWEST,33,MEASURED,2022-09-19T04:21:00.0,MOSTRECENT,50,MEASURED,2022-09-19T07:00:00.0,ENDOFDAY,33,MEASURED,2022-09-19T04:24:00.0,40,116,70980002,5,300
96200873,2022-09-19,9d3b7161c77545268d0ca2d467125ef7,86400000,2606,486,2120,2606,2606,2606,486,15,11754,13660,10317,10317,2022-09-19T07:00:00.0,2022-09-20T07:00:00.0,2022-09-19T00:00:00.0,2022-09-20T00:00:00.0,1620,7675,6,15,150,10,39,142,43,43,1663657200000,true,true,false,false,false,false,false,0,96200873,2022-09-19,TOTAL,18,14,95,1096,165,178,1439,49349,12540,53220,10680,9900,86340,5460,4920,2160,AWAKE,29,22,95,556,159,174,889,8387,12300,21060,10440,9540,53340,5280,4860,2160,ASLEEP,6,6,60,540,6,550,40962,240,32160,360,33000,180,60,,96200873,2022-09-19,95,57,1,HIGHEST,100,MEASURED,2022-09-19T11:56:00.0,LOWEST,50,MEASURED,2022-09-19T07:01:00.0,MOSTRECENT,88,MEASURED,2022-09-20T07:00:00.0,ENDOFDAY,70,MEASURED,2022-09-20T04:38:00.0,40,142,70140002,4,240
96200873,2022-09-20,0874c6ed59ef47afb688bf0b7bd8e72e,86400000,3461,1341,2120,3461,3461,3461,1341,117,21595,13280,22997,22997,2022-09-20T07:00:00.0,2022-09-21T07:00:00.0,2022-09-20T00:00:00.0,2022-09-21T00:00:00.0,6094,6961,2,88,150,10,41,172,44,44,1663743600000,true,true,false,false,false,false,false,0,96200873,2022-09-20,TOTAL,31,21,95,1011,171,253,1435,17033,30420,30240,15180,10260,86100,13500,12000,4920,AWAKE,56,55,95,519,156,251,926,-20819,30120,1020,15060,9360,55560,13320,11880,4920,ASLEEP,6,6,75,492,15,509,37852,300,29220,900,30540,180,120,,96200873,2022-09-20,43,77,1,HIGHEST,100,MEASURED,2022-09-20T08:35:00.0,LOWEST,24,MEASURED,2022-09-21T03:24:00.0,MOSTRECENT,54,MEASURED,2022-09-21T07:00:00.0,ENDOFDAY,24,MEASURED,2022-09-21T04:33:00.0,41,170,81180003,2,120
96200873,2022-09-21,c0671cd874c741c685f99e278121dc5b,86400000,2907,787,2120,2907,2907,2907,787,59,15468,14120,15345,15345,2022-09-21T07:00:00.0,2022-09-22T07:00:00.0,2022-09-21T00:00:00.0,2022-09-22T00:00:00.0,3705,7470,1,42,150,10,40,167,43,45,1663830000000,true,true,false,false,false,false,false,0,96200873,2022-09-21,TOTAL,32,22,90,1081,153,205,1439,16100,31800,33060,12300,9180,86340,13920,10560,7320,AWAKE,52,49,90,593,126,205,924,-18860,30900,4680,12300,7560,55440,13140,10440,7320,ASLEEP,7,8,56,488,27,515,34960,900,28380,1620,30900,780,120,,96200873,2022-09-21,73,75,1,HIGHEST,100,MEASURED,2022-09-21T11:28:00.0,LOWEST,30,MEASURED,2022-09-22T02:28:00.0,MOSTRECENT,52,MEASURED,2022-09-22T07:00:00.0,ENDOFDAY,33,MEASURED,2022-09-22T04:27:00.0,41,165,69120002,,
96200873,2022-09-22,bd10de54997845c09690b8f51eb43a8f,86400000,2974,854,2120,2974,2974,2974,854,80,19147,14390,18527,18527,2022-09-22T07:00:00.0,2022-09-23T07:00:00.0,2022-09-22T00:00:00.0,2022-09-23T00:00:00.0,4362,9118,8,58,150,10,40,152,43,44,1663916400000,true,true,false,false,false,false,false,0,96200873,2022-09-22,TOTAL,18,15,85,1001,180,256,1437,44171,14100,45960,15360,10800,86220,7260,6120,720,AWAKE,31,23,85,486,173,255,914,4266,13920,15240,15300,10380,54840,7080,6120,720,ASLEEP,6,6,37,515,7,523,39905,180,30720,420,31380,180,,,96200873,2022-09-22,99,68,1,HIGHEST,100,MEASURED,2022-09-22T11:29:00.0,LOWEST,52,MEASURED,2022-09-22T07:01:00.0,MOSTRECENT,83,MEASURED,2022-09-23T07:00:00.0,ENDOFDAY,57,MEASURED,2022-09-23T04:18:00.0,40,152,67020002,1,60
96200873,2022-09-23,3f70af2267f2443da91b6ccd32b1cd49,86400000,2865,745,2120,2865,2865,2865,745,56,13906,15350,14120,14120,2022-09-23T07:00:00.0,2022-09-24T07:00:00.0,2022-09-23T00:00:00.0,2022-09-24T00:00:00.0,2835,6280,5,41,150,10,37,178,43,43,1664002800000,true,true,false,false,false,false,false,0,96200873,2022-09-23,TOTAL,16,14,90,1074,182,183,1439,50469,12360,52080,10980,10920,86340,8100,3360,900,AWAKE,23,18,90,606,179,180,965,16710,12240,24120,10800,10740,57900,7980,3360,900,ASLEEP,7,8,49,468,3,474,33759,120,27960,180,28440,120,,,96200873,2022-09-23,67,54,1,HIGHEST,100,MEASURED,2022-09-23T08:54:00.0,LOWEST,64,MEASURED,2022-09-23T16:42:00.0,MOSTRECENT,96,MEASURED,2022-09-24T07:00:00.0,ENDOFDAY,87,MEASURED,2022-09-24T05:08:00.0,39,177,9480002,3,180
96200873,2022-09-24,d419c7ff0ea74032935329e098b691c7,86400000,2746,626,2120,2746,2746,2746,626,40,11472,15210,11927,11927,2022-09-24T07:00:00.0,2022-09-25T07:00:00.0,2022-09-24T00:00:00.0,2022-09-25T00:00:00.0,2911,6309,2,31,150,10,39,180,44,44,1664089200000,true,true,false,false,false,false,false,0,96200873,2022-09-24,TOTAL,29,20,93,1115,146,176,1437,24217,24480,42420,10560,8760,86220,7020,11040,6420,AWAKE,48,41,93,579,131,176,886,-12991,24360,10380,10560,7860,53160,6900,11040,6420,ASLEEP,8,8,48,536,15,551,37208,120,32040,900,33060,120,,,96200873,2022-09-24,34,76,1,HIGHEST,100,MEASURED,2022-09-24T07:21:00.0,LOWEST,36,MEASURED,2022-09-25T04:19:00.0,MOSTRECENT,54,MEASURED,2022-09-25T07:00:00.0,ENDOFDAY,42,MEASURED,2022-09-25T05:51:00.0,40,180,74760003,,
