userProfilePK,calendarDate,uuid,durationInMilliseconds,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,totalSteps,dailyStepGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessStartTimeGmt,wellnessEndTimeGmt,wellnessStartTimeLocal,wellnessEndTimeLocal,highlyActiveSeconds,activeSeconds,moderateIntensityMinutes,vigorousIntensityMinutes,userIntensityMinutesGoal,userFloorsAscendedGoal,includesWellnessData,includesActivityData,includesCalorieConsumedData,includesSingleMeasurement,includesContinuousMeasurement,includesAllDayPulseOx,includesSleepPulseOx,source,allDayStress/userProfilePK,allDayStress/calendarDate,allDayStress/aggregatorList/0/type,allDayStress/aggregatorList/0/averageStressLevel,allDayStress/aggregatorList/0/averageStressLevelIntensity,allDayStress/aggregatorList/0/stressOffWristCount,allDayStress/aggregatorList/0/totalStressCount,allDayStress/aggregatorList/0/uncategorizedDuration,allDayStress/aggregatorList/0/totalDuration,allDayStress/aggregatorList/1/type,allDayStress/aggregatorList/1/averageStressLevel,allDayStress/aggregatorList/1/averageStressLevelIntensity,allDayStress/aggregatorList/1/stressOffWristCount,allDayStress/aggregatorList/1/totalStressCount,allDayStress/aggregatorList/1/uncategorizedDuration,allDayStress/aggregatorList/1/totalDuration,allDayStress/aggregatorList/2/type,allDayStress/aggregatorList/2/averageStressLevel,allDayStress/aggregatorList/2/averageStressLevelIntensity,version,restingCaloriesFromActivity,minHeartRate,maxHeartRate,restingHeartRate,currentDayRestingHeartRate,restingHeartRateTimestamp,allDayStress/aggregatorList/0/maxStressLevel,allDayStress/aggregatorList/0/stressIntensityCount,allDayStress/aggregatorList/0/stressTooActiveCount,allDayStress/aggregatorList/0/totalStressIntensity,allDayStress/aggregatorList/0/stressDuration,allDayStress/aggregatorList/0/restDuration,allDayStress/aggregatorList/0/activityDuration,allDayStress/aggregatorList/0/lowDuration,allDayStress/aggregatorList/0/mediumDuration,allDayStress/aggregatorList/0/highDuration,allDayStress/aggregatorList/1/maxStressLevel,allDayStress/aggregatorList/1/stressIntensityCount,allDayStress/aggregatorList/1/stressTooActiveCount,allDayStress/aggregatorList/1/totalStressIntensity,allDayStress/aggregatorList/1/stressDuration,allDayStress/aggregatorList/1/restDuration,allDayStress/aggregatorList/1/activityDuration,allDayStress/aggregatorList/1/lowDuration,allDayStress/aggregatorList/1/mediumDuration,allDayStress/aggregatorList/1/highDuration,bodyBattery/userProfilePK,bodyBattery/calendarDate,bodyBattery/chargedValue,bodyBattery/drainedValue,bodyBattery/bodyBatteryVersion,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/0/statsValue,bodyBattery/bodyBatteryStatList/0/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/0/statTimestamp,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/1/statsValue,bodyBattery/bodyBatteryStatList/1/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/1/statTimestamp,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/2/statsValue,bodyBattery/bodyBatteryStatList/2/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/2/statTimestamp,minAvgHeartRate,maxAvgHeartRate,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatType,bodyBattery/bodyBatteryStatList/3/statsValue,bodyBattery/bodyBatteryStatList/3/bodyBatteryStatus,bodyBattery/bodyBatteryStatList/3/statTimestamp,allDayStress/aggregatorList/2/maxStressLevel,allDayStress/aggregatorList/2/stressIntensityCount,allDayStress/aggregatorList/2/stressTooActiveCount,allDayStress/aggregatorList/2/totalStressCount,allDayStress/aggregatorList/2/totalStressIntensity,allDayStress/aggregatorList/2/stressDuration,allDayStress/aggregatorList/2/restDuration,allDayStress/aggregatorList/2/activityDuration,allDayStress/aggregatorList/2/totalDuration,allDayStress/aggregatorList/2/lowDuration,allDayStress/aggregatorList/2/mediumDuration,allDayStress/aggregatorList/2/stressOffWristCount,allDayStress/aggregatorList/2/uncategorizedDuration,allDayStress/aggregatorList/2/highDuration
96200873,2022-02-27,7ff88906e29c4045821fdd5e9f013743,86400000,2120,0,2120,2120,2120,2120,0,0,13310,0,0,2022-02-27T08:00:00.0,2022-02-28T08:00:00.0,2022-02-27T00:00:00.0,2022-02-28T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2022-02-27,TOTAL,-1,-1,1440,1440,86400,86400,AWAKE,-1,-1,1440,1440,86400,86400,ASLEEP,-2,-2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2022-02-28,a7aa913b32e84bb484bb2de675bab4d9,86400000,3004,884,2120,3004,3004,3004,884,12339,13310,13322,13322,2022-02-28T08:00:00.0,2022-03-01T08:00:00.0,2022-02-28T00:00:00.0,2022-03-01T00:00:00.0,4200,4735,20,39,150,10,true,true,false,false,false,false,false,0,96200873,2022-02-28,TOTAL,45,38,860,1436,51600,86160,AWAKE,45,38,860,1436,51600,86160,ASLEEP,-2,-2,2,42,44,193,51,51,1646121600000,99,428,148,-7643,18780,6900,8880,7260,9120,2400,99,428,148,-7643,18780,6900,8880,7260,9120,2400,96200873,2022-02-28,13,67,1,HIGHEST,85,RESET,2022-02-28T14:59:00.0,LOWEST,31,MEASURED,2022-03-01T01:08:00.0,MOSTRECENT,31,MEASURED,2022-03-01T01:28:00.0,45,192,,,,,,,,,,,,,,,,,,
96200873,2022-03-01,8182f68913bd43f597ace990cb404582,86400000,3112,992,2120,3112,3112,3112,992,13534,13220,15043,15043,2022-03-01T08:00:00.0,2022-03-02T08:00:00.0,2022-03-01T00:00:00.0,2022-03-02T00:00:00.0,4365,4995,3,64,150,10,true,true,false,false,false,false,false,0,96200873,2022-03-01,TOTAL,53,52,694,1438,41640,86280,AWAKE,53,52,694,1438,41640,86280,ASLEEP,-2,-2,2,40,54,201,56,60,1646208000000,96,573,171,-20461,32160,2220,10260,13920,14880,3360,96,573,171,-20461,32160,2220,10260,13920,14880,3360,96200873,2022-03-01,0,69,1,HIGHEST,79,RESET,2022-03-01T14:07:00.0,LOWEST,10,MEASURED,2022-03-02T03:59:00.0,MOSTRECENT,10,MEASURED,2022-03-02T04:36:00.0,56,200,,,,,,,,,,,,,,,,,,
96200873,2022-03-02,d1e04a3bf85b43d1a1c16d535c1f1e97,86400000,2632,512,2120,2632,2632,2632,512,12919,13260,12251,12251,2022-03-02T08:00:00.0,2022-03-03T08:00:00.0,2022-03-02T00:00:00.0,2022-03-03T00:00:00.0,4260,8080,3,13,150,10,true,true,false,false,false,false,false,0,96200873,2022-03-02,TOTAL,34,25,532,1437,31920,86220,AWAKE,34,25,532,1437,31920,86220,ASLEEP,-2,-2,61860002,15,46,148,56,57,1646294400000,93,702,203,1024,21840,20280,12180,10920,9420,1500,93,702,203,1024,21840,20280,12180,10920,9420,1500,96200873,2022-03-02,41,60,1,HIGHEST,79,RESET,2022-03-02T14:07:00.0,LOWEST,36,MEASURED,2022-03-03T01:12:00.0,MOSTRECENT,60,MEASURED,2022-03-03T08:00:00.0,48,144,ENDOFDAY,60,MEASURED,2022-03-03T08:00:00.0,,,,,,,,,,,,,,
96200873,2022-03-03,2fd917d9f1554a71a3197a39bfeeae22,86400000,2747,627,2120,2747,2747,2747,627,12026,13230,11964,11964,2022-03-03T08:00:00.0,2022-03-04T08:00:00.0,2022-03-03T00:00:00.0,2022-03-04T00:00:00.0,3300,5385,6,31,150,10,true,true,false,false,false,false,false,0,96200873,2022-03-03,TOTAL,25,20,528,1437,31680,86220,AWAKE,36,28,528,1103,31680,66180,ASLEEP,11,11,73800002,38,46,161,56,54,1646380800000,88,768,141,16374,16740,29340,8460,9960,5880,900,88,435,140,-2300,16560,9540,8400,9840,5820,900,96200873,2022-03-03,43,52,1,HIGHEST,95,MEASURED,2022-03-03T13:24:00.0,LOWEST,49,MEASURED,2022-03-04T00:23:00.0,MOSTRECENT,51,MEASURED,2022-03-04T01:05:00.0,47,158,,,,,51,333,1,334,18674,180,19800,60,20040,120,60,,,
96200873,2022-03-04,383cc00dc2fb416c93ad3cb7a05d6222,86400000,2648,528,2120,2648,2648,2648,528,12518,12990,12702,12702,2022-03-04T08:00:00.0,2022-03-05T08:00:00.0,2022-03-04T00:00:00.0,2022-03-05T00:00:00.0,3240,6240,3,19,150,10,true,false,false,false,false,false,false,0,96200873,2022-03-04,TOTAL,24,20,605,1410,36300,84600,AWAKE,24,20,605,1410,36300,84600,ASLEEP,-2,-2,42060002,,45,146,55,55,1646467200000,87,651,154,13708,10680,28380,9240,5760,3840,1080,87,651,154,13708,10680,28380,9240,5760,3840,1080,96200873,2022-03-04,37,43,1,HIGHEST,81,RESET,2022-03-04T15:40:00.0,LOWEST,57,MEASURED,2022-03-05T02:37:00.0,MOSTRECENT,75,MEASURED,2022-03-05T07:30:00.0,47,144,,,,,,,,,,,,,,,,,,
96200873,2022-03-05,9a54e1d5fe954fb0bdc91628e7d258e1,86400000,2120,0,2120,2120,2120,2120,0,0,12900,0,0,2022-03-05T08:00:00.0,2022-03-06T08:00:00.0,2022-03-05T00:00:00.0,2022-03-06T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2022-03-05,TOTAL,-1,-1,1439,1439,86340,86340,AWAKE,-1,-1,1439,1439,86340,86340,ASLEEP,-2,-2,13260002,,,,,,,,,,,,,,,,,,,,,,,,,,,96200873,2022-03-05,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2022-03-06,338cd7eb06b9416faaff49b834a36f26,86400000,2120,0,2120,2120,2120,2120,0,0,12900,0,0,2022-03-06T08:00:00.0,2022-03-07T08:00:00.0,2022-03-06T00:00:00.0,2022-03-07T00:00:00.0,0,0,0,0,150,10,true,false,false,false,false,false,false,0,96200873,2022-03-06,TOTAL,-1,-1,1439,1439,86340,86340,AWAKE,-1,-1,1439,1439,86340,86340,ASLEEP,-2,-2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96200873,2022-03-07,e2828cf706f04b6da079100a7340c8e8,86400000,2884,764,2120,2884,2884,2884,764,14365,12900,15279,15279,2022-03-07T08:00:00.0,2022-03-08T08:00:00.0,2022-03-07T00:00:00.0,2022-03-08T00:00:00.0,4140,5520,7,58,150,10,true,false,false,false,false,false,false,0,96200873,2022-03-07,TOTAL,29,21,898,1440,53880,86400,AWAKE,29,21,898,1440,53880,86400,ASLEEP,-2,-2,75540002,,44,190,56,53,1646726400000,89,385,157,6099,10500,12600,9420,6000,3780,720,89,385,157,6099,10500,12600,9420,6000,3780,720,96200873,2022-03-07,22,51,1,HIGHEST,85,MEASURED,2022-03-07T20:52:00.0,LOWEST,55,MEASURED,2022-03-08T00:55:00.0,MOSTRECENT,55,MEASURED,2022-03-08T01:39:00.0,45,186,,,,,,,,,,,,,,,,,,
96200873,2022-03-08,fc7ea62caf9842968f8e6bc5e6ad5b38,86400000,2816,696,2120,2816,2816,2816,696,13298,13050,13746,13746,2022-03-08T08:00:00.0,2022-03-09T08:00:00.0,2022-03-08T00:00:00.0,2022-03-09T00:00:00.0,3420,5559,7,41,150,10,true,true,false,false,false,false,false,0,96200873,2022-03-08,TOTAL,29,23,900,1436,54000,86160,AWAKE,29,23,900,1436,54000,86160,ASLEEP,-2,-2,75000002,48,49,172,55,55,1646812800000,81,395,141,3827,12000,11700,8460,8100,3660,240,81,395,141,3827,12000,11700,8460,8100,3660,240,96200873,2022-03-08,19,46,1,HIGHEST,80,RESET,2022-03-08T14:11:00.0,LOWEST,53,MEASURED,2022-03-09T00:38:00.0,MOSTRECENT,53,MEASURED,2022-03-09T01:07:00.0,51,170,,,,,,,,,,,,,,,,,,
