sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,remSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro
2024-01-18T04:07:00.0,2024-01-18T13:32:00.0,2024-01-18,ENHANCED_CONFIRMED,1980,21780,9600,540,0,false
2024-01-19T04:10:00.0,2024-01-19T13:30:00.0,2024-01-19,ENHANCED_CONFIRMED_FINAL,0,18360,14100,180,960,false
2024-01-20T04:26:00.0,2024-01-20T13:30:00.0,2024-01-20,ENHANCED_CONFIRMED_FINAL,1260,23160,8040,180,0,false
2024-01-21T03:37:00.0,2024-01-21T13:28:00.0,2024-01-21,ENHANCED_CONFIRMED,1440,21300,12120,600,0,false
2024-01-22T02:23:00.0,2024-01-22T13:27:00.0,2024-01-22,ENHANCED_CONFIRMED_FINAL,1920,24600,12060,1260,0,false
2024-01-23T01:32:00.0,2024-01-23T13:29:00.0,2024-01-23,ENHANCED_CONFIRMED_FINAL,0,20280,21180,1560,0,false
2024-01-24T03:30:00.0,2024-01-24T13:30:00.0,2024-01-24,ENHANCED_CONFIRMED_FINAL,0,23460,11940,600,0,false
2024-01-25T03:36:00.0,2024-01-25T13:26:00.0,2024-01-25,ENHANCED_CONFIRMED_FINAL,840,20400,13860,300,0,false
2024-01-26T03:28:00.0,2024-01-26T13:25:00.0,2024-01-26,ENHANCED_CONFIRMED_FINAL,3840,18600,13200,180,0,false
2024-01-27T04:45:00.0,2024-01-27T13:28:00.0,2024-01-27,ENHANCED_CONFIRMED_FINAL,240,18360,12600,180,0,false
2024-01-28T04:49:00.0,2024-01-28T13:28:00.0,2024-01-28,ENHANCED_CONFIRMED_FINAL,2340,16320,12180,300,0,false
2024-01-29T04:16:00.0,2024-01-29T13:30:00.0,2024-01-29,ENHANCED_CONFIRMED_FINAL,0,8820,23940,480,0,false
2024-01-30T05:40:00.0,2024-01-30T13:34:00.0,2024-01-30,ENHANCED_CONFIRMED_FINAL,0,13920,14400,120,0,false
2024-01-31T05:22:00.0,2024-01-31T13:32:00.0,2024-01-31,ENHANCED_CONFIRMED_FINAL,1320,18240,8880,960,0,false
2024-02-01T05:08:00.0,2024-02-01T13:25:00.0,2024-02-01,ENHANCED_CONFIRMED_FINAL,1440,20280,7980,120,0,false
2024-02-02T05:11:00.0,2024-02-02T13:25:00.0,2024-02-02,ENHANCED_CONFIRMED_FINAL,0,13020,16620,0,0,false
2024-02-03T02:05:00.0,2024-02-03T13:30:00.0,2024-02-03,ENHANCED_CONFIRMED_FINAL,420,25500,12420,2760,0,false
2024-02-04T05:52:00.0,2024-02-04T13:31:00.0,2024-02-04,ENHANCED_CONFIRMED_FINAL,0,12300,15000,240,0,false
2024-02-05T07:48:00.0,2024-02-05T13:29:00.0,2024-02-05,ENHANCED_CONFIRMED_FINAL,180,13200,6720,360,0,false
2024-02-06T05:18:00.0,2024-02-06T13:31:00.0,2024-02-06,ENHANCED_CONFIRMED_FINAL,0,13380,16020,180,0,false
2024-02-07T05:39:00.0,2024-02-07T13:27:00.0,2024-02-07,ENHANCED_CONFIRMED_FINAL,0,14220,13860,0,0,false
2024-02-08T05:09:00.0,2024-02-08T13:29:00.0,2024-02-08,ENHANCED_CONFIRMED_FINAL,2340,15000,12240,420,0,false
2024-02-09T05:01:00.0,2024-02-09T13:27:00.0,2024-02-09,ENHANCED_CONFIRMED_FINAL,960,19620,9720,60,0,false
2024-02-10T05:04:00.0,2024-02-10T13:30:00.0,2024-02-10,ENHANCED_CONFIRMED_FINAL,1740,16620,11820,180,0,false
2024-02-11T04:50:00.0,2024-02-11T13:31:00.0,2024-02-11,ENHANCED_CONFIRMED_FINAL,2460,20160,8460,180,0,false
2024-02-12T05:45:00.0,2024-02-12T13:30:00.0,2024-02-12,ENHANCED_CONFIRMED_FINAL,960,12960,13920,60,0,false
2024-02-13T05:04:00.0,2024-02-13T13:29:00.0,2024-02-13,ENHANCED_CONFIRMED_FINAL,0,17280,12960,60,0,false
2024-02-14T02:13:00.0,2024-02-14T13:31:00.0,2024-02-14,ENHANCED_CONFIRMED_FINAL,0,23040,16320,1320,0,false
2024-02-15T05:13:00.0,2024-02-15T13:29:00.0,2024-02-15,ENHANCED_CONFIRMED_FINAL,900,13080,15660,120,0,false
2024-02-16T05:51:00.0,2024-02-16T13:26:00.0,2024-02-16,ENHANCED_CONFIRMED_FINAL,2520,17580,6780,420,0,false
2024-02-17T04:21:00.0,2024-02-17T13:28:00.0,2024-02-17,ENHANCED_CONFIRMED_FINAL,1200,21480,9960,180,0,false
2024-02-18T04:45:00.0,2024-02-18T13:31:00.0,2024-02-18,ENHANCED_CONFIRMED_FINAL,3480,20400,7440,240,0,false
2024-02-19T04:30:00.0,2024-02-19T13:31:00.0,2024-02-19,ENHANCED_CONFIRMED_FINAL,1980,23580,6600,300,0,false
2024-02-20T05:49:00.0,2024-02-20T13:32:00.0,2024-02-20,ENHANCED_CONFIRMED_FINAL,0,12600,14940,240,0,false
2024-02-21T05:37:00.0,2024-02-21T13:32:00.0,2024-02-21,ENHANCED_CONFIRMED_FINAL,4020,19200,5100,180,0,false
2024-02-22T05:13:00.0,2024-02-22T13:27:00.0,2024-02-22,ENHANCED_CONFIRMED_FINAL,420,16080,12960,180,0,false
2024-02-23T06:17:00.0,2024-02-23T13:34:00.0,2024-02-23,ENHANCED_CONFIRMED_FINAL,2040,14160,9780,240,0,false
2024-02-24T05:25:00.0,2024-02-24T14:31:00.0,2024-02-24,ENHANCED_CONFIRMED,0,19200,13260,300,0,false
2024-02-25T05:11:00.0,2024-02-25T13:25:00.0,2024-02-25,ENHANCED_CONFIRMED_FINAL,1860,19560,8040,180,0,false
2024-02-26T04:49:00.0,2024-02-26T13:29:00.0,2024-02-26,ENHANCED_CONFIRMED_FINAL,2160,17280,11640,120,0,false
2024-02-27T04:49:00.0,2024-02-27T13:31:00.0,2024-02-27,ENHANCED_CONFIRMED_FINAL,120,20940,10020,240,0,false
2024-02-28T05:34:00.0,2024-02-28T13:26:00.0,2024-02-28,ENHANCED_CONFIRMED_FINAL,0,15720,12480,120,0,false
2024-02-29T05:30:00.0,2024-02-29T13:27:00.0,2024-02-29,ENHANCED_CONFIRMED_FINAL,720,16920,10980,0,0,false
2024-03-01T05:53:00.0,2024-03-01T13:30:00.0,2024-03-01,ENHANCED_CONFIRMED_FINAL,0,13440,13920,60,0,false
2024-03-02T06:25:00.0,2024-03-02T14:07:00.0,2024-03-02,ENHANCED_CONFIRMED_FINAL,2940,18840,5160,780,0,false
2024-03-03T05:20:00.0,2024-03-03T13:34:00.0,2024-03-03,ENHANCED_CONFIRMED_FINAL,0,19080,10380,180,0,false
2024-03-04T05:01:00.0,2024-03-04T13:25:00.0,2024-03-04,ENHANCED_CONFIRMED_FINAL,120,16200,13500,420,0,false
