sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,remSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro
2023-10-10T03:25:00.0,2023-10-10T12:30:00.0,2023-10-10,ENHANCED_CONFIRMED_FINAL,0,18480,14040,180,0,false
2023-10-11T03:55:00.0,2023-10-11T12:31:00.0,2023-10-11,ENHANCED_CONFIRMED_FINAL,3600,17460,9720,180,0,false
2023-10-12T02:42:00.0,2023-10-12T12:28:00.0,2023-10-12,ENHANCED_CONFIRMED_FINAL,1680,18900,14460,120,0,false
2023-10-13T03:18:00.0,2023-10-13T12:29:00.0,2023-10-13,ENHANCED_CONFIRMED_FINAL,0,17040,15900,120,0,false
2023-10-14T02:09:00.0,2023-10-14T12:29:00.0,2023-10-14,ENHANCED_CONFIRMED_FINAL,180,21360,14700,960,0,false
2023-10-15T03:22:00.0,2023-10-15T12:30:00.0,2023-10-15,ENHANCED_CONFIRMED_FINAL,0,19920,12780,180,0,false
2023-10-16T02:50:00.0,2023-10-16T12:29:00.0,2023-10-16,ENHANCED_CONFIRMED_FINAL,0,20520,14100,120,0,false
2023-10-17T02:57:00.0,2023-10-17T12:31:00.0,2023-10-17,ENHANCED_CONFIRMED_FINAL,0,18120,16140,180,0,false
2023-10-18T03:39:00.0,2023-10-18T12:29:00.0,2023-10-18,ENHANCED_CONFIRMED_FINAL,900,20580,10140,180,0,false
2023-10-19T02:57:00.0,2023-10-19T12:28:00.0,2023-10-19,ENHANCED_CONFIRMED_FINAL,0,20040,14100,120,0,false
2023-10-20T04:08:00.0,2023-10-20T12:30:00.0,2023-10-20,ENHANCED_CONFIRMED_FINAL,0,15900,14160,60,0,false
2023-10-21T03:00:00.0,2023-10-21T12:27:00.0,2023-10-21,ENHANCED_CONFIRMED_FINAL,3660,18180,12000,180,0,false
2023-10-22T03:14:00.0,2023-10-22T12:31:00.0,2023-10-22,ENHANCED_CONFIRMED_FINAL,0,19440,13860,120,0,false
2023-10-23T03:06:00.0,2023-10-23T12:29:00.0,2023-10-23,ENHANCED_CONFIRMED_FINAL,2940,17220,13500,120,0,false
2023-10-24T03:13:00.0,2023-10-24T12:28:00.0,2023-10-24,ENHANCED_CONFIRMED_FINAL,0,19320,13860,120,0,false
2023-10-25T03:13:00.0,2023-10-25T12:30:00.0,2023-10-25,ENHANCED_CONFIRMED_FINAL,3780,19440,6840,180,3180,false
