sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro,remSleepSeconds
2021-11-09T04:32:00.0,2021-11-09T17:56:00.0,2021-11-09,OFF_WRIST,0,0,0,0,false,
2021-11-10T04:32:00.0,2021-11-10T17:56:00.0,2021-11-10,OFF_WRIST,0,0,0,0,false,
2021-11-11T04:32:00.0,2021-11-11T17:56:00.0,2021-11-11,OFF_WRIST,0,0,0,0,false,
2021-11-12T04:02:00.0,2021-11-12T15:09:00.0,2021-11-12,OFF_WRIST,0,0,0,0,false,
2021-11-13T04:32:00.0,2021-11-13T17:56:00.0,2021-11-13,OFF_WRIST,0,0,0,0,false,
2021-11-14T04:32:00.0,2021-11-14T17:56:00.0,2021-11-14,OFF_WRIST,0,0,0,0,false,
2021-11-15T04:02:00.0,2021-11-15T15:01:00.0,2021-11-15,OFF_WRIST,0,0,0,0,false,
2021-11-16T04:32:00.0,2021-11-16T17:56:00.0,2021-11-16,OFF_WRIST,0,0,0,0,false,
2021-11-17T04:07:00.0,2021-11-17T15:12:00.0,2021-11-17,OFF_WRIST,0,0,0,0,false,
2021-11-18T04:27:00.0,2021-11-18T17:56:00.0,2021-11-18,OFF_WRIST,0,0,0,0,false,
2021-11-19T04:07:00.0,2021-11-19T14:59:00.0,2021-11-19,OFF_WRIST,0,0,0,0,false,
2021-11-20T04:22:00.0,2021-11-20T16:01:00.0,2021-11-20,OFF_WRIST,0,0,0,0,false,
2021-11-21T04:32:00.0,2021-11-21T17:56:00.0,2021-11-21,OFF_WRIST,0,0,0,0,false,
2021-11-22T04:32:00.0,2021-11-22T17:56:00.0,2021-11-22,OFF_WRIST,0,0,0,0,false,
2021-11-23T04:27:00.0,2021-11-23T17:36:00.0,2021-11-23,OFF_WRIST,0,0,0,0,false,
2021-11-24T04:07:00.0,2021-11-24T15:36:00.0,2021-11-24,OFF_WRIST,0,0,0,0,false,
2021-11-25T06:13:00.0,2021-11-25T16:38:00.0,2021-11-25,ENHANCED_CONFIRMED,1920,25200,120,0,false,10200
2021-11-26T06:02:00.0,2021-11-26T15:14:00.0,2021-11-26,ENHANCED_CONFIRMED_FINAL,600,19260,180,0,false,13080
2021-11-27T05:48:00.0,2021-11-27T14:33:00.0,2021-11-27,ENHANCED_CONFIRMED_FINAL,1560,18060,480,0,false,11400
2021-11-28T04:41:00.0,2021-11-28T16:31:00.0,2021-11-28,ENHANCED_CONFIRMED,0,24960,1980,0,false,15660
2021-11-29T05:55:00.0,2021-11-29T14:35:00.0,2021-11-29,ENHANCED_CONFIRMED_FINAL,2940,16440,0,0,false,11820
2021-11-30T05:35:00.0,2021-11-30T14:32:00.0,2021-11-30,ENHANCED_CONFIRMED_FINAL,360,18720,120,0,false,13020
2021-12-01T06:21:00.0,2021-12-01T15:03:00.0,2021-12-01,ENHANCED_CONFIRMED_FINAL,0,17220,60,0,false,14040
2021-12-02T04:07:00.0,2021-12-02T15:10:00.0,2021-12-02,OFF_WRIST,0,0,0,0,false,
2021-12-03T06:09:00.0,2021-12-03T14:43:00.0,2021-12-03,ENHANCED_CONFIRMED,2040,18660,0,0,false,10140
2021-12-04T05:28:00.0,2021-12-04T16:33:00.0,2021-12-04,ENHANCED_CONFIRMED_FINAL,3720,20820,420,0,false,14940
2021-12-05T04:12:00.0,2021-12-05T15:56:00.0,2021-12-05,OFF_WRIST,0,0,0,0,false,
2021-12-06T05:41:00.0,2021-12-06T14:33:00.0,2021-12-06,ENHANCED_CONFIRMED_FINAL,600,19320,360,0,false,11640
2021-12-07T05:14:00.0,2021-12-07T14:32:00.0,2021-12-07,ENHANCED_CONFIRMED_FINAL,2340,18900,240,0,false,12000
2021-12-08T05:43:00.0,2021-12-08T14:40:00.0,2021-12-08,ENHANCED_CONFIRMED_FINAL,0,15900,120,0,false,16200
2021-12-09T05:37:00.0,2021-12-09T14:32:00.0,2021-12-09,ENHANCED_CONFIRMED_FINAL,2160,14400,0,0,false,15540
2021-12-10T06:31:00.0,2021-12-10T14:42:00.0,2021-12-10,ENHANCED_CONFIRMED_FINAL,180,20760,420,0,false,8100
2021-12-11T05:18:00.0,2021-12-11T14:47:00.0,2021-12-11,ENHANCED_CONFIRMED,0,16920,240,0,false,16980
2021-12-12T04:32:00.0,2021-12-12T17:56:00.0,2021-12-12,OFF_WRIST,0,0,0,0,false,
2021-12-13T05:56:00.0,2021-12-13T14:37:00.0,2021-12-13,ENHANCED_CONFIRMED_FINAL,1740,18960,120,0,false,10440
2021-12-14T06:14:00.0,2021-12-14T14:33:00.0,2021-12-14,ENHANCED_CONFIRMED_FINAL,960,15660,0,0,false,13320
2021-12-15T06:06:00.0,2021-12-15T14:43:00.0,2021-12-15,ENHANCED_CONFIRMED_FINAL,0,13740,180,0,false,17100
2021-12-16T04:25:00.0,2021-12-16T15:11:00.0,2021-12-16,OFF_WRIST,0,0,0,0,false,
2021-12-17T03:20:00.0,2021-12-17T14:41:00.0,2021-12-17,ENHANCED_CONFIRMED_FINAL,0,21840,900,0,false,18120
2021-12-18T05:34:00.0,2021-12-18T15:56:00.0,2021-12-18,ENHANCED_CONFIRMED,0,19440,60,0,false,17820
2021-12-19T05:32:00.0,2021-12-19T16:20:00.0,2021-12-19,ENHANCED_CONFIRMED_FINAL,0,20280,360,0,false,18240
2021-12-20T05:48:00.0,2021-12-20T15:49:00.0,2021-12-20,ENHANCED_CONFIRMED_FINAL,0,19620,180,0,false,16260
2021-12-21T05:43:00.0,2021-12-21T15:47:00.0,2021-12-21,ENHANCED_CONFIRMED_FINAL,240,20460,60,0,false,15480
2021-12-22T05:01:00.0,2021-12-22T16:04:00.0,2021-12-22,ENHANCED_CONFIRMED_FINAL,1980,24600,720,0,false,12480
2021-12-23T06:21:00.0,2021-12-23T15:56:00.0,2021-12-23,ENHANCED_CONFIRMED_FINAL,1500,20340,60,0,false,12600
2021-12-24T05:18:00.0,2021-12-24T15:44:00.0,2021-12-24,ENHANCED_CONFIRMED,0,20340,60,1740,false,15420
2021-12-25T04:32:00.0,2021-12-25T17:56:00.0,2021-12-25,OFF_WRIST,0,0,0,0,false,
2021-12-26T04:32:00.0,2021-12-26T17:56:00.0,2021-12-26,OFF_WRIST,0,0,0,0,false,
2021-12-27T04:17:00.0,2021-12-27T16:41:00.0,2021-12-27,OFF_WRIST,0,0,0,0,false,
2021-12-28T05:14:00.0,2021-12-28T15:50:00.0,2021-12-28,ENHANCED_CONFIRMED,0,20100,300,1500,false,16260
2021-12-29T04:07:00.0,2021-12-29T15:46:00.0,2021-12-29,OFF_WRIST,0,0,0,0,false,
2021-12-30T05:47:00.0,2021-12-30T14:31:00.0,2021-12-30,ENHANCED_CONFIRMED,0,15720,60,0,false,15660
2021-12-31T04:17:00.0,2021-12-31T15:41:00.0,2021-12-31,OFF_WRIST,0,0,0,0,false,
2022-01-01T04:17:00.0,2022-01-01T16:16:00.0,2022-01-01,OFF_WRIST,0,0,0,0,false,
2022-01-02T04:32:00.0,2022-01-02T17:56:00.0,2022-01-02,OFF_WRIST,0,0,0,0,false,
2022-01-03T04:01:00.0,2022-01-03T14:37:00.0,2022-01-03,OFF_WRIST,0,0,0,0,false,
2022-01-04T04:42:00.0,2022-01-04T13:38:00.0,2022-01-04,ENHANCED_CONFIRMED,1620,17820,240,0,false,12480
2022-01-05T04:22:00.0,2022-01-05T17:01:00.0,2022-01-05,OFF_WRIST,0,0,0,0,false,
2022-01-06T04:01:00.0,2022-01-06T14:01:00.0,2022-01-06,OFF_WRIST,0,0,0,0,false,
2022-01-07T04:01:00.0,2022-01-07T14:03:00.0,2022-01-07,OFF_WRIST,0,0,0,0,false,
2022-01-08T04:23:00.0,2022-01-08T16:20:00.0,2022-01-08,ENHANCED_CONFIRMED_FINAL,0,23640,60,0,false,19320
2022-01-09T04:32:00.0,2022-01-09T17:56:00.0,2022-01-09,OFF_WRIST,0,0,0,0,false,
2022-01-10T04:05:00.0,2022-01-10T14:56:00.0,2022-01-10,OFF_WRIST,0,0,0,0,false,
2022-01-11T04:01:00.0,2022-01-11T14:09:00.0,2022-01-11,OFF_WRIST,0,0,0,0,false,
2022-01-12T04:39:00.0,2022-01-12T13:34:00.0,2022-01-12,ENHANCED_CONFIRMED_FINAL,0,15060,60,0,false,16980
2022-01-13T04:07:00.0,2022-01-13T15:31:00.0,2022-01-13,OFF_WRIST,0,0,0,0,false,
2022-01-14T04:41:00.0,2022-01-14T13:31:00.0,2022-01-14,ENHANCED_CONFIRMED_FINAL,0,17100,0,0,false,14700
2022-01-15T04:12:00.0,2022-01-15T16:21:00.0,2022-01-15,OFF_WRIST,0,0,0,0,false,
2022-01-16T05:41:00.0,2022-01-16T15:27:00.0,2022-01-16,ENHANCED_CONFIRMED_FINAL,1200,23520,300,0,false,10140
2022-01-17T04:17:00.0,2022-01-17T16:26:00.0,2022-01-17,OFF_WRIST,0,0,0,0,false,
2022-01-18T04:23:00.0,2022-01-18T15:00:00.0,2022-01-18,OFF_WRIST,0,0,0,0,false,
2022-01-19T04:27:00.0,2022-01-19T14:10:00.0,2022-01-19,OFF_WRIST,0,0,0,0,false,
2022-01-20T05:28:00.0,2022-01-20T15:28:00.0,2022-01-20,OFF_WRIST,0,0,0,0,false,
2022-01-21T04:01:00.0,2022-01-21T14:55:00.0,2022-01-21,OFF_WRIST,0,0,0,0,false,
2022-01-22T04:07:00.0,2022-01-22T16:01:00.0,2022-01-22,OFF_WRIST,0,0,0,0,false,
2022-01-23T05:46:00.0,2022-01-23T14:30:00.0,2022-01-23,ENHANCED_CONFIRMED,1860,18720,0,0,false,10860
2022-01-24T04:02:00.0,2022-01-24T15:11:00.0,2022-01-24,OFF_WRIST,0,0,0,0,false,
2022-01-25T04:55:00.0,2022-01-25T13:41:00.0,2022-01-25,ENHANCED_CONFIRMED,1260,18420,300,0,false,11580
2022-01-26T04:01:00.0,2022-01-26T13:44:00.0,2022-01-26,OFF_WRIST,0,0,0,0,false,
2022-01-27T05:50:00.0,2022-01-27T14:05:00.0,2022-01-27,ENHANCED_CONFIRMED_FINAL,0,18000,0,0,false,11700
2022-01-28T04:01:00.0,2022-01-28T15:07:00.0,2022-01-28,OFF_WRIST,0,0,0,0,false,
2022-01-29T04:32:00.0,2022-01-29T17:56:00.0,2022-01-29,OFF_WRIST,0,0,0,0,false,
2022-01-30T04:32:00.0,2022-01-30T17:56:00.0,2022-01-30,OFF_WRIST,0,0,0,0,false,
2022-01-31T04:12:00.0,2022-01-31T16:31:00.0,2022-01-31,OFF_WRIST,0,0,0,0,false,
2022-02-01T04:01:00.0,2022-02-01T14:14:00.0,2022-02-01,OFF_WRIST,0,0,0,0,false,
2022-02-02T04:02:00.0,2022-02-02T14:36:00.0,2022-02-02,OFF_WRIST,0,0,0,0,false,
2022-02-03T04:02:00.0,2022-02-03T14:21:00.0,2022-02-03,OFF_WRIST,0,0,0,0,false,
2022-02-04T04:55:00.0,2022-02-04T14:28:00.0,2022-02-04,ENHANCED_CONFIRMED_FINAL,0,16860,240,0,false,17280
2022-02-05T04:17:00.0,2022-02-05T16:41:00.0,2022-02-05,OFF_WRIST,0,0,0,0,false,
2022-02-06T04:32:00.0,2022-02-06T17:56:00.0,2022-02-06,OFF_WRIST,0,0,0,0,false,
2022-02-07T04:01:00.0,2022-02-07T14:38:00.0,2022-02-07,OFF_WRIST,0,0,0,0,false,
2022-02-08T04:01:00.0,2022-02-08T14:08:00.0,2022-02-08,OFF_WRIST,0,0,0,0,false,
2022-02-09T04:01:00.0,2022-02-09T14:08:00.0,2022-02-09,OFF_WRIST,0,0,0,0,false,
2022-02-10T04:01:00.0,2022-02-10T13:36:00.0,2022-02-10,OFF_WRIST,0,0,0,0,false,
2022-02-11T04:16:00.0,2022-02-11T14:21:00.0,2022-02-11,OFF_WRIST,0,0,0,0,false,
2022-02-12T04:32:00.0,2022-02-12T17:56:00.0,2022-02-12,OFF_WRIST,0,0,0,0,false,
2022-02-13T04:32:00.0,2022-02-13T17:56:00.0,2022-02-13,OFF_WRIST,0,0,0,0,false,
2022-02-14T04:32:00.0,2022-02-14T17:56:00.0,2022-02-14,OFF_WRIST,0,0,0,0,false,
2022-02-15T04:32:00.0,2022-02-15T17:56:00.0,2022-02-15,OFF_WRIST,0,0,0,0,false,
2022-02-16T04:32:00.0,2022-02-16T17:56:00.0,2022-02-16,OFF_WRIST,0,0,0,0,false,
