sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro,remSleepSeconds
2021-09-19T03:32:00.0,2021-09-19T16:56:00.0,2021-09-19,OFF_WRIST,0,0,0,0,false,
2021-09-20T03:32:00.0,2021-09-20T16:56:00.0,2021-09-20,OFF_WRIST,0,0,0,0,false,
2021-09-21T03:36:00.0,2021-09-21T16:56:00.0,2021-09-21,OFF_WRIST,0,0,0,0,false,
2021-09-22T03:22:00.0,2021-09-22T14:11:00.0,2021-09-22,OFF_WRIST,0,0,0,0,false,
2021-09-23T03:01:00.0,2021-09-23T14:09:00.0,2021-09-23,OFF_WRIST,0,0,0,0,false,
2021-09-24T03:32:00.0,2021-09-24T16:56:00.0,2021-09-24,OFF_WRIST,0,0,0,0,false,
2021-09-25T03:01:00.0,2021-09-25T13:09:00.0,2021-09-25,OFF_WRIST,0,0,0,0,false,
2021-09-26T03:32:00.0,2021-09-26T16:56:00.0,2021-09-26,OFF_WRIST,0,0,0,0,false,
2021-09-27T03:32:00.0,2021-09-27T16:56:00.0,2021-09-27,OFF_WRIST,0,0,0,0,false,
2021-09-28T03:01:00.0,2021-09-28T13:54:00.0,2021-09-28,OFF_WRIST,0,0,0,0,false,
2021-09-29T03:32:00.0,2021-09-29T16:56:00.0,2021-09-29,OFF_WRIST,0,0,0,0,false,
2021-09-30T03:02:00.0,2021-09-30T14:08:00.0,2021-09-30,OFF_WRIST,0,0,0,0,false,
2021-10-01T03:32:00.0,2021-10-01T16:56:00.0,2021-10-01,OFF_WRIST,0,0,0,0,false,
2021-10-02T03:01:00.0,2021-10-02T14:26:00.0,2021-10-02,OFF_WRIST,0,0,0,0,false,
2021-10-03T03:32:00.0,2021-10-03T16:56:00.0,2021-10-03,OFF_WRIST,0,0,0,0,false,
2021-10-04T03:32:00.0,2021-10-04T16:56:00.0,2021-10-04,OFF_WRIST,0,0,0,0,false,
