sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,remSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro
2022-12-14T05:53:00.0,2022-12-14T17:08:00.0,2022-12-14,ENHANCED_CONFIRMED_FINAL,1860,29700,8520,420,0,false
2022-12-15T05:39:00.0,2022-12-15T14:00:00.0,2022-12-15,ENHANCED_CONFIRMED_FINAL,0,17640,12360,60,0,false
2022-12-16T05:36:00.0,2022-12-16T14:00:00.0,2022-12-16,ENHANCED_CONFIRMED_FINAL,1260,16860,12120,0,0,false
2022-12-17T06:22:00.0,2022-12-17T14:02:00.0,2022-12-17,ENHANCED_CONFIRMED_FINAL,0,16980,10620,0,0,false
2022-12-18T05:46:00.0,2022-12-18T14:03:00.0,2022-12-18,ENHANCED_CONFIRMED_FINAL,2700,18120,7800,360,840,false
2022-12-19T04:50:00.0,2022-12-19T14:03:00.0,2022-12-19,ENHANCED_CONFIRMED_FINAL,360,18720,13380,720,0,false
2022-12-20T05:06:00.0,2022-12-20T14:03:00.0,2022-12-20,ENHANCED_CONFIRMED,0,19260,12900,60,0,false
2022-12-21T05:21:00.0,2022-12-21T19:06:00.0,2022-12-21,ENHANCED_CONFIRMED,0,29100,20160,240,0,false
2022-12-22T05:56:00.0,2022-12-22T14:00:00.0,2022-12-22,ENHANCED_CONFIRMED_FINAL,0,18660,10380,0,0,false
2022-12-23T05:19:00.0,2022-12-23T14:02:00.0,2022-12-23,ENHANCED_CONFIRMED_FINAL,1920,15000,14400,60,0,false
2022-12-24T02:30:00.0,2022-12-24T15:10:00.0,2022-12-24,ENHANCED_CONFIRMED,9720,25140,9000,1740,0,false
2022-12-25T05:16:00.0,2022-12-25T15:06:00.0,2022-12-25,ENHANCED_CONFIRMED,2640,19380,13260,120,0,false
2022-12-26T05:46:00.0,2022-12-26T14:06:00.0,2022-12-26,ENHANCED_CONFIRMED_FINAL,960,17520,11400,120,0,false
2022-12-27T05:27:00.0,2022-12-27T14:01:00.0,2022-12-27,ENHANCED_CONFIRMED_FINAL,360,17820,12660,0,0,false
2022-12-28T06:08:00.0,2022-12-28T14:04:00.0,2022-12-28,ENHANCED_CONFIRMED_FINAL,1920,17040,9540,60,0,false
2022-12-29T06:21:00.0,2022-12-29T15:16:00.0,2022-12-29,ENHANCED_CONFIRMED_FINAL,1080,19800,11220,0,0,false
2022-12-30T05:48:00.0,2022-12-30T14:02:00.0,2022-12-30,ENHANCED_CONFIRMED_FINAL,2520,16980,10140,0,0,false
2022-12-31T05:53:00.0,2022-12-31T15:53:00.0,2022-12-31,ENHANCED_CONFIRMED_FINAL,3660,18720,13560,60,0,false
2023-01-01T05:34:00.0,2023-01-01T15:38:00.0,2023-01-01,ENHANCED_CONFIRMED_FINAL,1260,23760,10740,480,0,false
2023-01-02T06:07:00.0,2023-01-02T14:06:00.0,2023-01-02,ENHANCED_CONFIRMED_FINAL,2100,14820,11700,120,0,false
2023-01-03T04:14:00.0,2023-01-03T16:25:00.0,2023-01-03,ENHANCED_CONFIRMED_FINAL,0,21780,22020,60,0,false
2023-01-04T05:40:00.0,2023-01-04T14:06:00.0,2023-01-04,ENHANCED_CONFIRMED_FINAL,2640,15240,12360,120,0,false
2023-01-05T05:09:00.0,2023-01-05T14:04:00.0,2023-01-05,ENHANCED_CONFIRMED,3000,19320,9720,60,0,false
2023-01-06T06:02:00.0,2023-01-06T14:03:00.0,2023-01-06,ENHANCED_CONFIRMED_FINAL,2580,17760,8520,0,0,false
2023-01-07T04:50:00.0,2023-01-07T15:03:00.0,2023-01-07,ENHANCED_CONFIRMED_FINAL,2880,22200,11400,300,0,false
2023-01-08T05:14:00.0,2023-01-08T15:19:00.0,2023-01-08,AUTO_CONFIRMED_FINAL,11940,24360,,0,0,false
2023-01-09T05:02:00.0,2023-01-09T14:04:00.0,2023-01-09,ENHANCED_CONFIRMED_FINAL,1080,18000,13320,120,0,false
2023-01-10T06:55:00.0,2023-01-10T16:00:00.0,2023-01-10,ENHANCED_CONFIRMED_FINAL,180,15960,16440,120,0,false
2023-01-11T05:10:00.0,2023-01-11T14:31:00.0,2023-01-11,ENHANCED_CONFIRMED_FINAL,900,18840,12840,1080,0,false
2023-01-12T04:47:00.0,2023-01-12T17:41:00.0,2023-01-12,OFF_WRIST,0,0,,0,0,false
2023-01-13T05:41:00.0,2023-01-13T14:04:00.0,2023-01-13,ENHANCED_CONFIRMED,0,17280,12360,540,0,false
2023-01-14T03:06:00.0,2023-01-14T14:07:00.0,2023-01-14,ENHANCED_CONFIRMED_FINAL,0,25620,13020,1020,0,false
2023-01-15T05:06:00.0,2023-01-15T17:35:00.0,2023-01-15,ENHANCED_CONFIRMED,2340,24300,17940,360,0,false
