sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,remSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro
2023-03-24T03:54:00.0,2023-03-24T12:25:00.0,2023-03-24,ENHANCED_CONFIRMED_FINAL,0,16380,14280,0,0,false
2023-03-25T04:32:00.0,2023-03-25T13:36:00.0,2023-03-25,ENHANCED_CONFIRMED_FINAL,1560,15120,15660,300,0,false
2023-03-26T04:12:00.0,2023-03-26T12:26:00.0,2023-03-26,ENHANCED_CONFIRMED_FINAL,0,11040,18600,0,0,false
2023-03-27T03:56:00.0,2023-03-27T12:26:00.0,2023-03-27,ENHANCED_CONFIRMED_FINAL,600,15840,14160,0,0,false
2023-03-28T03:43:00.0,2023-03-28T12:30:00.0,2023-03-28,ENHANCED_CONFIRMED_FINAL,1560,15840,14100,120,0,false
2023-03-29T03:51:00.0,2023-03-29T12:25:00.0,2023-03-29,ENHANCED_CONFIRMED_FINAL,840,17460,12420,120,0,false
2023-03-30T04:17:00.0,2023-03-30T12:26:00.0,2023-03-30,ENHANCED_CONFIRMED_FINAL,1080,15840,12360,60,0,false
2023-03-31T04:11:00.0,2023-03-31T12:28:00.0,2023-03-31,ENHANCED_CONFIRMED_FINAL,0,16320,13320,180,0,false
2023-04-01T04:01:00.0,2023-04-01T12:31:00.0,2023-04-01,ENHANCED_CONFIRMED_FINAL,540,15720,14280,60,0,false
2023-04-02T04:29:00.0,2023-04-02T13:01:00.0,2023-04-02,ENHANCED_CONFIRMED_FINAL,840,15720,14160,0,0,false
2023-04-03T04:11:00.0,2023-04-03T11:54:00.0,2023-04-03,ENHANCED_CONFIRMED_FINAL,180,14520,13020,60,0,false
2023-04-04T04:20:00.0,2023-04-04T12:25:00.0,2023-04-04,ENHANCED_CONFIRMED_FINAL,1680,15720,11040,0,660,false
2023-04-05T04:30:00.0,2023-04-05T12:25:00.0,2023-04-05,ENHANCED_CONFIRMED_FINAL,1920,16740,9780,60,0,false
2023-04-06T03:29:00.0,2023-04-06T12:26:00.0,2023-04-06,ENHANCED_CONFIRMED_FINAL,0,17040,14940,240,0,false
2023-04-07T03:58:00.0,2023-04-07T12:31:00.0,2023-04-07,ENHANCED_CONFIRMED,1800,16020,10800,420,1740,false
2023-04-08T04:07:00.0,2023-04-08T13:03:00.0,2023-04-08,ENHANCED_CONFIRMED_FINAL,0,15720,14040,240,2160,false
