favorite,maxSpeed,maxFractionalCadence,atpActivity,endLatitude,activityId,lapCount,manufacturer,startLongitude,duration,userProfileId,activityType,maxDoubleCadence,avgFractionalCadence,calories,avgDoubleCadence,elevationLoss,pr,elevationGain,name,uuidMsb,elapsedDuration,sportType,purposeful,steps,timeZoneId,rule,maxRunCadence,maxElevation,endLongitude,maxVerticalSpeed,maxHr,eventTypeId,minElevation,uuidLsb,startLatitude,beginTimestamp,avgRunCadence,avgSpeed,distance,avgHr,vO2MaxValue,deviceId,parent,elevationCorrected,startTimeLocal,startTimeGmt,movingDuration,autoCalcCalories,locationName,avgStrideLength
false,0.3536000013351441,0.5,false,47.66376187093556,17520359207.0,4.0,GARMIN,-117.39495777525008,1564489.013671875,96200873.0,running,165.0,0.7265625,1344.99642,157.453125,786.82861328125,false,621.77734375,Spokane Running,2.331976211657605e+18,1564489.013671875,RUNNING,false,4094.0,121.0,subscribers,82.0,58065.05126953125,-117.40118796005845,0.02605224609375,162.0,9.0,57000.0,-7.574844705258095e+18,47.67027536407113,1731420464000.0,78.0,0.3176000118255615,496914.013671875,144.0,61.0,3366988290.0,false,true,1731391664000.0,1731420464000.0,1559443.992614746,false,Spokane,121.02727008276422
false,0.3507999897003174,0.5,false,47.66372540965676,17519091924.0,7.0,GARMIN,-117.39484529010952,3098367.919921875,96200873.0,running,169.0,0.703125,3029.3844599999998,157.40625,7896.88720703125,false,7881.158447265625,Spokane Running,-5.822302656626867e+18,3098367.919921875,RUNNING,false,8080.0,121.0,subscribers,84.0,58700.0,-117.40132617764175,0.4063446044921875,187.0,9.0,55436.798095703125,-7.705999533770039e+18,47.67023471184075,1731336355000.0,78.0,0.3153000116348267,976857.03125,163.0,61.0,3366988290.0,false,true,1731307555000.0,1731336355000.0,3091946.990966797,false,Spokane,120.18028058665577
false,0.35269999504089355,0.5,false,47.66375130973756,17505164254.0,4.0,GARMIN,-117.3948769737035,1536880.9814453125,96200873.0,running,167.0,0.2578125,1525.16728,158.515625,868.07861328125,false,510.72998046875,Spokane Running,-5.255406884289821e+18,1536880.9814453125,RUNNING,false,4034.0,121.0,subscribers,83.0,58057.3486328125,-117.40108611993492,0.0340179443359375,183.0,9.0,57000.0,-6.227103151088716e+18,47.67031869851053,1731249853000.0,79.0,0.3257999897003174,500766.015625,160.0,61.0,3366988290.0,false,true,1731221053000.0,1731249853000.0,1535326.9958496094,false,Spokane,123.34448376978808
false,0.38440001010894775,0.0,false,47.66378927975893,17497876455.0,10.0,GARMIN,-117.39466088823974,4604346.19140625,96200873.0,running,174.0,0.5,4395.33098,159.0,9244.366455078125,false,9025.244140625,Spokane Running,6.700640554768026e+18,4604346.19140625,RUNNING,false,12108.0,121.0,subscribers,87.0,58045.166015625,-117.40137512795627,0.10884806315104167,182.0,9.0,52206.988525390625,-4.947116514958316e+18,47.670302437618375,1731168244000.0,79.0,0.31770000457763675,1462696.97265625,160.0,61.0,3366988290.0,false,true,1731139444000.0,1731168244000.0,4598488.971710205,false,Spokane,119.8703949662607
false,0.3723000049591065,0.5,false,47.663764553144574,17488746162.0,7.0,GARMIN,-117.39471696317196,2921000.9765625,96200873.0,running,185.0,0.3046875,2463.7317599999997,160.609375,4712.408447265625,false,4591.36962890625,Spokane Running,5.974843210070114e+18,2921000.9765625,RUNNING,false,7824.0,121.0,subscribers,92.0,58049.59716796875,-117.40116013213992,0.113275146484375,168.0,9.0,55495.78857421875,-6.578269372111836e+18,47.670292630791664,1731076622000.0,80.0,0.33529999256134035,979529.00390625,148.0,61.0,3366988290.0,false,true,1731047822000.0,1731076622000.0,2918622.989654541,false,Spokane,125.27932617931619
false,0.3619999885559082,0.5,false,47.66371442936361,17480645822.0,4.0,GARMIN,-117.39463943056762,1518103.02734375,96200873.0,running,173.0,0.078125,1277.9560999999999,158.15625,766.27197265625,false,766.27197265625,Spokane Running,-4.783588019820475e+18,1518103.02734375,RUNNING,false,3980.0,121.0,subscribers,86.0,58049.114990234375,-117.40125132724643,0.023706054687500002,159.0,9.0,57000.0,-7.188859368064118e+18,47.67022356390953,1730988613000.0,79.0,0.32679998874664307,496056.005859375,143.0,61.0,3366988290.0,false,true,1730959813000.0,1730988613000.0,1512407.0014953613,false,Spokane,123.95599487346524
false,0.3806999921798706,0.5,false,47.663771007210016,17473021420.0,7.0,GARMIN,-117.39482634700835,2924947.998046875,96200873.0,running,169.0,0.859375,2819.8834599999996,159.71875,5112.98828125,false,5067.974853515625,Spokane Running,-3.9489197056438897e+18,2924947.998046875,RUNNING,false,7758.0,121.0,subscribers,84.0,58045.013427734375,-117.4012512434274,0.11226196289062501,182.0,9.0,55490.130615234375,-7.458421210463569e+18,47.67033504322171,1730904165000.0,79.0,0.3328999996185303,973623.046875,158.0,61.0,3366988290.0,false,true,1730875365000.0,1730904165000.0,2918795.9938049316,false,Spokane,125.04854975453942
false,0.36300001144409183,0.5,false,47.66373949125409,17464227509.0,4.0,GARMIN,-117.39473892375827,1573735.9619140625,96200873.0,running,165.0,0.3828125,1403.6566999999998,156.765625,792.73681640625,false,782.1044921875,Spokane Running,-6.802961304641519e+18,1573735.9619140625,RUNNING,false,4088.0,121.0,subscribers,82.0,58039.434814453125,-117.40119768306613,0.024860636393229166,176.0,9.0,57000.0,-8.817183720344426e+18,47.670326912775636,1730815580000.0,78.0,0.3148000001907349,495335.986328125,149.0,61.0,3366988290.0,false,true,1730786780000.0,1730815580000.0,1569908.9965820312,false,Spokane,120.47828152611825
false,0.4328999996185303,0.0,false,47.663807552307844,17456308653.0,7.0,GARMIN,-117.39474445581436,2923986.083984375,96200873.0,running,174.0,0.0546875,2958.1541199999997,160.109375,5310.2294921875,false,5310.2294921875,Spokane Running,-7.036933686742597e+18,2923986.083984375,RUNNING,false,7798.0,121.0,subscribers,87.0,58024.114990234375,-117.40118435584009,0.13016357421875,189.0,9.0,55500.0,-8.949272266220606e+18,47.670290200039744,1730730880000.0,80.0,0.3335000038146973,975037.01171875,165.0,61.0,3366988290.0,false,true,1730702080000.0,1730730880000.0,2919015.0146484375,false,Spokane,124.8554560259344
false,0.4907999992370606,0.0,false,47.66373605467379,17448881387.0,7.0,GARMIN,-117.39471025764942,2870397.94921875,96200873.0,running,170.0,0.1640625,2706.75292,160.328125,5179.693603515625,false,4972.186279296875,Spokane Running,-9.159157952587477e+18,2870397.94921875,RUNNING,false,7650.0,121.0,subscribers,85.0,58047.967529296875,-117.40118779242039,0.38973388671875003,190.0,9.0,55500.0,-7.33314937141665e+18,47.670292630791664,1730644545000.0,80.0,0.3385999917984009,971865.0390625,156.0,61.0,3366988290.0,false,true,1730615745000.0,1730644545000.0,2866731.023788452,false,Spokane,126.70317271618752
