sleepEndTimestampGMT,retro,awakeSleepSeconds,deepSleepSeconds,sleepStartTimestampGMT,lightSleepSeconds,calendarDate,sleepWindowConfirmationType,unmeasurableSeconds
2021-11-29T14:35:00.0,false,0.0,2940.0,2021-11-29T05:55:00.0,16440.0,2021-11-29,ENHANCED_CONFIRMED_FINAL,0.0
2021-11-30T14:32:00.0,false,120.0,360.0,2021-11-30T05:35:00.0,18720.0,2021-11-30,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-01T15:03:00.0,false,60.0,0.0,2021-12-01T06:21:00.0,17220.0,2021-12-01,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-03T14:43:00.0,false,0.0,2040.0,2021-12-03T06:09:00.0,18660.0,2021-12-03,ENHANCED_CONFIRMED,0.0
2021-12-04T16:33:00.0,false,420.0,3720.0,2021-12-04T05:28:00.0,20820.0,2021-12-04,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-06T14:33:00.0,false,360.0,600.0,2021-12-06T05:41:00.0,19320.0,2021-12-06,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-07T14:32:00.0,false,240.0,2340.0,2021-12-07T05:14:00.0,18900.0,2021-12-07,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-08T14:40:00.0,false,120.0,0.0,2021-12-08T05:43:00.0,15900.0,2021-12-08,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-09T14:32:00.0,false,0.0,2160.0,2021-12-09T05:37:00.0,14400.0,2021-12-09,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-10T14:42:00.0,false,420.0,180.0,2021-12-10T06:31:00.0,20760.0,2021-12-10,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-11T14:47:00.0,false,240.0,0.0,2021-12-11T05:18:00.0,16920.0,2021-12-11,ENHANCED_CONFIRMED,0.0
2021-12-13T14:37:00.0,false,120.0,1740.0,2021-12-13T05:56:00.0,18960.0,2021-12-13,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-14T14:33:00.0,false,0.0,960.0,2021-12-14T06:14:00.0,15660.0,2021-12-14,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-15T14:43:00.0,false,180.0,0.0,2021-12-15T06:06:00.0,13740.0,2021-12-15,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-17T14:41:00.0,false,900.0,0.0,2021-12-17T03:20:00.0,21840.0,2021-12-17,ENHANCED_CONFIRMED_FINAL,0.0
2021-12-18T15:56:00.0,false,60.0,0.0,2021-12-18T05:34:00.0,19440.0,2021-12-18,ENHANCED_CONFIRMED,0.0
